תאריך,כינון ישיר,כבד,תלול,כטבמ,פצועים,הרוגים,הערות
2024-01-01,10,0,0,2,0,0,
2024-01-02,5,0,14,1,0,0,7 אירועי נ'ט ושיגורי מל'טים ורקטות ע''י חיזבאללה
2024-01-03,3,0,14,0,0,0,
2024-01-04,5,0,10,0,0,0,עשרות שיגורי פצמרים ונט בגבול - אין התרעות
2024-01-05,1,0,0,0,0,0,
2024-01-06,2,0,50,1,0,0,
2024-01-07,2,0,26,0,0,0,
2024-01-08,4,0,4,3,0,0,
2024-01-09,1,0,10,7,0,0,
2024-01-10,0,0,5,0,0,0,
2024-01-11,5,0,40,0,0,0,
2024-01-13,8,0,11,3,0,0,
2024-01-14,8,0,8,1,6,2,
2024-01-15,5,0,25,1,0,0,
2024-01-16,4,0,25,1,0,0,
2024-01-17,5,0,40,6,0,0,
2024-01-18,3,0,32,0,0,0,
2024-01-20,4,0,26,4,0,0,
2024-01-21,2,0,13,0,0,0,
2024-01-22,2,0,21,0,0,0,
2024-01-23,1,0,32,1,0,0,
2024-01-24,4,0,12,1,0,0,
2024-01-25,3,0,2,0,0,0,
2024-01-27,5,0,24,3,0,0,
2024-01-28,3,0,21,4,0,0,
2024-01-29,2,0,38,0,0,0,
2024-01-31,6,0,17,0,0,0,אחרי הפרסום -נ'ט במנרה
2024-02-01,5,0,17,0,0,0,
2024-02-03,3,0,22,1,0,0,1 נפילה במתת + 2 על בירנית אחרי הפצת הדו'ח
2024-02-04,4,0,34,0,0,0,
2024-02-05,1,0,17,1,0,0,
2024-02-06,4,2,13,1,2,0,
2024-02-07,2,0,12,0,0,0,
2024-02-08,4,4,21,1,3,0,
2024-02-10,5,0,107,3,0,0,
2024-02-11,1,0,17,1,0,0,
2024-02-12,0,0,8,0,0,0,
2024-02-13,4,0,12,1,2,0,
2024-02-14,6,0,28,2,10,1,
2024-02-15,8,6,52,3,0,0,"שלושה בורקאן בשומרה, שלושה פלאק בק.שמונה ואצבע הגליל"
2024-02-16,6,1,7,0,0,0,ב 16.2 בורקאן באיזור מלכיה
2024-02-17,8,0,0,0,0,0,
2024-02-18,8,0,0,0,0,0,
2024-02-19,0,0,0,1,0,0,
2024-02-20,4,0,5,1,0,0,
2024-02-21,8,2,28,2,0,0,
2024-02-22,9,0,38,8,0,0,
2024-02-24,5,6,13,6,0,0,
2024-02-25,1,0,27,2,0,0,
2024-02-26,1,0,59,4,1,0,
2024-02-27,2,0,102,1,0,0,
2024-02-28,2,0,24,1,0,0,
2024-02-29,2,0,17,1,0,0,
2024-03-02,8,1,0,0,0,0,
2024-03-03,2,1,4,1,0,0,
2024-03-04,3,0,34,3,7,1,
2024-03-05,4,1,53,3,0,0,
2024-03-06,4,0,0,2,0,0,
2024-03-07,2,0,40,1,0,0,
2024-03-09,2,1,7,0,0,0,
2024-03-10,2,0,68,4,0,0,
2024-03-11,2,0,36,2,0,0,
2024-03-12,5,5,128,0,0,0,
2024-03-13,6,2,8,1,0,0,
2024-03-14,4,0,18,3,0,0,
2024-03-17,4,0,11,3,0,0,
