time,loc
05-Feb-2023 17:41:20,"אור הנר"
05-Feb-2023 17:41:20,"שדרות, איבים, ניר עם"
05-Feb-2023 17:41:20,"גבים, מכללת ספיר"
04-Feb-2023 19:27:44,"כפר עזה"
04-Feb-2023 19:27:44,"בארי"
04-Feb-2023 19:27:03,"שדרות, איבים, ניר עם"
02-Feb-2023 03:32:44,"מטווח ניר עם"
02-Feb-2023 03:22:19,"מפלסים"
02-Feb-2023 02:48:58,"כפר עזה"
02-Feb-2023 02:47:37,"ניר עוז"
02-Feb-2023 02:38:53,"מגן"
01-Feb-2023 17:26:08,"עין הבשור"
29-Jan-2023 00:19:12,"אזור תעשייה הדרומי אשקלון"
27-Jan-2023 04:05:30,"אשקלון - דרום"
27-Jan-2023 04:05:30,"כרמיה"
27-Jan-2023 04:03:19,"זיקים"
