loc,X,Y
אבו-גוש,35.1101732080424,31.8059875474468
אביגדור,34.7435319392366,31.7097865969248
אבן יהודה,34.8837267597359,32.2681554507264
אבן ספיר,35.1331832607224,31.7624021772043
אבן שמואל,34.7630090211439,31.5757090097259
אודים,34.848300919847,32.2659554146433
אופקים,34.621615510895,31.3109206059485
אור הנר,34.601782535665,31.5564399231478
אור יהודה,34.8558095991058,32.0273928411141
אורות,34.735224085541,31.7424757745972
אורים,34.5237830127538,31.3045488948524
אורנית,34.9922616783354,32.1300915379732
אזור,34.8079361878303,32.0228263959495
אחווה,34.7688588951704,31.7436691492962
אחוזם,34.7703682048354,31.5539690843566
אחיסמך,34.90748170657,31.9347587126772
אחיעזר,34.8717744578061,31.9812090416225
איתן,34.7480313603577,31.5724058969144
אלישמע,34.9278974023981,32.1522136093114
אלעד,34.9569708187256,32.0506719831489
אלפי מנשה,35.0142997663591,32.171446587352
אלקנה,35.0351498943611,32.1121895627598
אמונים,34.6759206692315,31.7434643661154
ארז,34.5667522205345,31.5600426959622
ארסוף,34.8162289631675,32.2138453753785
אשבול,34.6671186434568,31.4460590817212
אשדוד,34.6474810846448,31.7942589503104
אשכולות,34.9049700545761,31.391044308248
אשקלון,34.5704978517792,31.666683704746
באר טוביה,34.7198761417611,31.7319255456706
באר יעקב,34.8406603433987,31.9439557857411
באר שבע,34.7864086217959,31.2566891499039
בארות יצחק,34.9102338895577,32.041360435708
בארותיים,34.9850667365664,32.3215257708361
בארי,34.4914586907824,31.4242516630585
בורגתה,34.9624936334709,32.3246312050809
בטחה,34.6320996531001,31.3344101533115
ביצרון,34.7302265429624,31.7956417051516
בית אלעזרי,34.8032535255454,31.8444569650228
בית גמליאל,34.761322608684,31.8572782117264
בית דגן,34.8300186277671,31.9998042837246
בית הגדי,34.6067829295251,31.4247814643576
בית זית,35.1618897109992,31.7823758265033
בית חנן,34.7726837719821,31.9342947971899
בית חשמונאי,34.9171890055805,31.889182753302
בית יהושע,34.8639930165449,32.2602015745597
בית נחמיה,34.9551982812436,31.9755371712822
בית נקופה,35.1262631931283,31.8042383003577
בית עובד,34.7699205335148,31.9238110631908
בית עוזיאל,34.9029306186302,31.8711841407628
בית עזרא,34.6554898041993,31.7366123919987
בית עריף,34.9344921787878,31.9957788720568
בית קמה,34.7612350797775,31.4462558551115
בית שמש,34.9906976154413,31.7452437746845
בית שקמה,34.6085365256113,31.6379448810636
בן זכאי,34.7289138761664,31.8562763715819
בני ברק,34.8352524728924,32.0870717965726
בני דרום,34.6926501952308,31.8204591590003
בני עטרות,34.9137448127603,32.0241341155092
בני עי"ש,34.7602245134038,31.7891233254057
בני ציון,34.8708570055523,32.2202174575812
בני ראם,34.7909153575378,31.7699700902113
בניה,34.7521928252854,31.8428613730924
בצרה,34.8795285539444,32.2134450386002
בקוע,34.9250934226688,31.8292697254558
בר גיורא,35.0715655646194,31.7295588555824
ברור חיל,34.6452481905642,31.557740076737
ברוש,34.6318474112431,31.3705649108042
ברכיה,34.6257481333826,31.6696912952738
ברקת,34.9531420334696,32.0131438694313
בת-ים,34.7490139949503,32.0140490202682
ג'לג'וליה,34.9550560221171,32.1506960922544
גאולים,34.9446292716953,32.298924742663
גאליה,34.766183398679,31.8848072698645
גבולות,34.4658225349393,31.2104320111343
גבים,34.5983280083987,31.5070716799497
גבעת ברנר,34.8012159419704,31.8659121575787
גבעת השלושה,34.9215927328229,32.0981319797829
גבעת יערים,35.0921345037146,31.786630383641
גבעת ישעיהו,34.9477178638369,31.6704086645067
גבעת כ"ח,34.9361295628126,32.0300339740373
גבעת שמואל,34.8531216070731,32.0772067364573
גבעתי,34.6798389006645,31.7326082075865
גבעתיים,34.8104260937044,32.0702937421117
גברעם,34.6129152708772,31.5918907496958
גדרה,34.7795009103103,31.8111733047572
גזר,34.9161966706597,31.8757742730513
גיאה,34.6035053857416,31.6279954788273
גיבתון,34.7999441442791,31.8887284219986
גילת,34.6534389662977,31.3269313649727
גינתון,34.9137746940875,31.9632730962419
גמזו,34.9408286819662,31.9282452037304
גן הדרום,34.7008926892783,31.8041138279133
גן חיים,34.9059061751527,32.1952242009835
גן יבנה,34.7096981376121,31.7902028408446
גן שלמה,34.7982794044266,31.8782299849793
גנות,34.8284944847478,32.0178575218523
גנות הדר,34.9001198250806,32.3199296372628
גני הדר,34.8538388701003,31.878611036266
גני יוחנן,34.8370833334332,31.857700045996
גני עם,34.9018011582094,32.1516602445248
גני תקווה,34.874408224472,32.0612517098483
גפן,34.8785344875929,31.7407957749769
גת,35.0378575976148,32.3991503975494
גת רימון,34.8830119727521,32.0687547749448
דורות,34.6460483883807,31.5058905284427
דימונה,35.0274193387046,31.0672437063232
דקל,34.3477491564614,31.1948076054199
הוד השרון,34.8860334477129,32.1542831051446
הודייה,34.6416402474564,31.6755598145155
הר אדר,35.1294735771613,31.8267821469408
הרצלייה,34.8350674563174,32.1690171819808
זוהר,34.6925284880517,31.5958829395265
זיקים,34.5217330622824,31.6083912674299
זיתן,34.8901914762076,31.9756764251196
זכריה,34.9448040775968,31.7097117385408
זרועה,34.6244224664664,31.4585196778709
זרחיה,34.7460322950882,31.6815093300022
חגור,34.9472400499329,32.1378840691607
חדיד,34.9334118084142,31.9683688924703
חולדה,34.882551948767,31.8306542289563
חולון,34.7833441053023,32.0106506218226
חולית,34.3256238312669,31.2302878300587
חורה,34.9346088129777,31.2985131571804
חורשים,34.9706103023955,32.1383448878137
חלץ,34.6578787388127,31.5781106540852
חמד,34.8388924331897,32.0193328172804
חפץ חיים,34.7977849330202,31.7897349129934
חצב,34.7699910328909,31.7806575783498
חצור,34.720435353603,31.7721414661648
חצרים,34.7068050443686,31.2392065608708
חרות,35.000330686139,29.904615126942
טייבה,35.0103056942728,32.2663687686993
טירה,34.956412353154,32.2332801750201
טירת יהודה,34.9333545847644,32.0132256706288
טל שחר,34.9034994611792,31.8057609237066
יבול,34.319605871723,31.1891608838456
יבנה,34.736532899412,31.8792010954555
יגל,34.8790958887335,31.9883071626564
יד בנימין,34.8220692086841,31.7977336506641
יד מרדכי,34.5580126631982,31.5882871710773
יד נתן,34.7047271160365,31.655135946565
יד רמב"ם,34.9015269152095,31.9005442361631
יושיביה,34.6092445172786,31.4430228432484
יכיני,34.6000034975637,31.482957779584
ינוב,34.9499135307068,32.3070977356274
ינון,34.7820554304212,31.7423459525496
יסודות,34.8549629450276,31.8155197609236
יעף,34.9646784101637,32.2675005753991
יציץ,34.861124948093,31.8632247504799
ירושלים,35.2095537973513,31.7797373515185
ירחיב,34.968834096908,32.1532187074198
ירקונה,34.9003923306742,32.1473677824098
ישרש,34.8458656980119,31.9148368136014
יתד,34.3268236110405,31.2068743283097
כוכב יאיר,34.9947085902823,32.22125819578
