hour,year,barrages,alarms
1,2025,10,1779
4,2025,3,697
5,2025,4,640
8,2025,3,117
9,2025,7,1107
12,2025,2,4
27,2025,4,354
30,2025,12,693
35,2025,2,5
43,2025,2,608
44,2025,1,595
48,2025,7,951
55,2025,1,179
56,2025,6,1048
71,2025,3,277
76,2025,2,177
79,2025,1,245
80,2025,3,270
84,2025,4,645
93,2025,3,209
95,2025,3,79
97,2025,4,357
100,2025,4,635
101,2025,2,292
119,2025,2,161
123,2025,2,397
131,2025,9,987
140,2025,7,475
153,2025,3,51
163,2025,8,846
174,2025,4,315
203,2025,17,1665
223,2025,3,174
230,2025,18,1040
231,2025,1,215
249,2025,10,984
250,2025,11,855
251,2025,6,282
254,2025,3,384
1,2026,24,2194
2,2026,34,3700
3,2026,9,508
4,2026,3,84
5,2026,4,503
6,2026,10,1241
7,2026,10,965
8,2026,19,1391
9,2026,7,981
10,2026,1,154
13,2026,14,1145
14,2026,3,305
16,2026,9,774
19,2026,1,1
21,2026,29,2418
23,2026,7,646
24,2026,3,161
25,2026,15,1417
27,2026,3,230
28,2026,20,1982
31,2026,3,192
35,2026,5,353
36,2026,9,532
37,2026,3,180
39,2026,5,47
40,2026,3,5
44,2026,2,6
45,2026,4,672
46,2026,9,502
