data,date,time,alertDate,category,category_desc,matrix_id,rid
 באר שבע 289,24.07.2014,17:05:26,2014-07-24T17:05:00,1,ירי רקטות וטילים,1,1
 באר שבע 291,24.07.2014,17:05:26,2014-07-24T17:05:00,1,ירי רקטות וטילים,1,1
באר שבע 288,24.07.2014,17:05:26,2014-07-24T17:05:00,1,ירי רקטות וטילים,1,1
 אשקלון 256,24.07.2014,17:05:35,2014-07-24T17:06:00,1,ירי רקטות וטילים,1,2
 באר שבע 291,24.07.2014,17:05:35,2014-07-24T17:06:00,1,ירי רקטות וטילים,1,2
 באר שבע 289,24.07.2014,17:05:35,2014-07-24T17:06:00,1,ירי רקטות וטילים,1,2
באר שבע 288,24.07.2014,17:05:35,2014-07-24T17:06:00,1,ירי רקטות וטילים,1,2
 באר שבע 289,24.07.2014,17:05:59,2014-07-24T17:06:00,1,ירי רקטות וטילים,1,3
 באר שבע 291,24.07.2014,17:05:59,2014-07-24T17:06:00,1,ירי רקטות וטילים,1,3
אשקלון 256,24.07.2014,17:05:59,2014-07-24T17:06:00,1,ירי רקטות וטילים,1,3
באר שבע 289,24.07.2014,17:06:02,2014-07-24T17:06:00,1,ירי רקטות וטילים,1,4
 באר שבע 291,24.07.2014,17:06:02,2014-07-24T17:06:00,1,ירי רקטות וטילים,1,4
באר שבע 288,24.07.2014,17:06:08,2014-07-24T17:06:00,1,ירי רקטות וטילים,1,5
 באר שבע 289,24.07.2014,17:06:08,2014-07-24T17:06:00,1,ירי רקטות וטילים,1,5
 באר שבע 291,24.07.2014,17:06:08,2014-07-24T17:06:00,1,ירי רקטות וטילים,1,5
באר שבע 288,24.07.2014,17:06:11,2014-07-24T17:06:00,1,ירי רקטות וטילים,1,6
 באר שבע 291,24.07.2014,17:06:11,2014-07-24T17:06:00,1,ירי רקטות וטילים,1,6
באר שבע 288,24.07.2014,17:06:14,2014-07-24T17:06:00,1,ירי רקטות וטילים,1,7
 באר שבע 289,24.07.2014,17:06:15,2014-07-24T17:06:00,1,ירי רקטות וטילים,1,8
באר שבע 288,24.07.2014,17:06:15,2014-07-24T17:06:00,1,ירי רקטות וטילים,1,8
באר שבע 289,24.07.2014,17:06:49,2014-07-24T17:07:00,1,ירי רקטות וטילים,1,9
עוטף עזה 230,27.07.2014,09:57:09,2014-07-27T09:57:00,1,ירי רקטות וטילים,1,10
עוטף עזה 237,27.07.2014,10:55:01,2014-07-27T10:55:00,1,ירי רקטות וטילים,1,11
עוטף עזה 218,27.07.2014,12:29:40,2014-07-27T12:30:00,1,ירי רקטות וטילים,1,12
 עוטף עזה 217,27.07.2014,13:44:10,2014-07-27T13:44:00,1,ירי רקטות וטילים,1,13
עוטף עזה 218,27.07.2014,13:44:10,2014-07-27T13:44:00,1,ירי רקטות וטילים,1,13
עוטף עזה 218,27.07.2014,13:59:00,2014-07-27T13:59:00,1,ירי רקטות וטילים,1,14
עוטף עזה 217,27.07.2014,14:03:55,2014-07-27T14:04:00,1,ירי רקטות וטילים,1,15
עוטף עזה 237,27.07.2014,14:06:49,2014-07-27T14:07:00,1,ירי רקטות וטילים,1,16
עוטף עזה 224,27.07.2014,14:43:07,2014-07-27T14:43:00,1,ירי רקטות וטילים,1,17
עוטף עזה 224,27.07.2014,14:43:29,2014-07-27T14:43:00,1,ירי רקטות וטילים,1,18
עוטף עזה 224,27.07.2014,16:00:30,2014-07-27T16:01:00,1,ירי רקטות וטילים,1,19
 אשקלון 249,27.07.2014,16:41:47,2014-07-27T16:42:00,1,ירי רקטות וטילים,1,20
 עוטף עזה 251,27.07.2014,16:41:47,2014-07-27T16:42:00,1,ירי רקטות וטילים,1,20
 אשקלון 251,27.07.2014,16:41:47,2014-07-27T16:42:00,1,ירי רקטות וטילים,1,20
אשקלון 250,27.07.2014,16:41:47,2014-07-27T16:42:00,1,ירי רקטות וטילים,1,20
אשקלון 250,27.07.2014,16:41:50,2014-07-27T16:42:00,1,ירי רקטות וטילים,1,21
 אשקלון 251,27.07.2014,16:41:50,2014-07-27T16:42:00,1,ירי רקטות וטילים,1,21
 אשקלון 249,27.07.2014,16:41:50,2014-07-27T16:42:00,1,ירי רקטות וטילים,1,21
 אשדוד 282,27.07.2014,16:41:50,2014-07-27T16:42:00,1,ירי רקטות וטילים,1,21
 עוטף עזה 251,27.07.2014,16:41:50,2014-07-27T16:42:00,1,ירי רקטות וטילים,1,21
 אשדוד 282,27.07.2014,16:41:57,2014-07-27T16:42:00,1,ירי רקטות וטילים,1,22
 אשדוד 280,27.07.2014,16:41:57,2014-07-27T16:42:00,1,ירי רקטות וטילים,1,22
 אשקלון 249,27.07.2014,16:41:57,2014-07-27T16:42:00,1,ירי רקטות וטילים,1,22
 עוטף עזה 251,27.07.2014,16:41:57,2014-07-27T16:42:00,1,ירי רקטות וטילים,1,22
 אשקלון 251,27.07.2014,16:41:57,2014-07-27T16:42:00,1,ירי רקטות וטילים,1,22
