time,cities,threat,id,description
2019-06-13 00:17:00,נירים,1,5665,ירי רקטות וטילים
2019-06-13 20:56:00,שדרות,1,5671,ירי רקטות וטילים
2019-06-13 20:56:00, איבים,1,5671,ירי רקטות וטילים
2019-06-18 10:06:00,אשדוד - יא,1,5672,ירי רקטות וטילים
2019-06-18 10:06:00,מרינה,1,5672,ירי רקטות וטילים
2019-06-18 11:55:00,דישון,1,5673,ירי רקטות וטילים
2019-07-01 09:19:00,נחל עוז,1,5674,ירי רקטות וטילים
2019-07-03 07:20:00,שדרות,1,5675,ירי רקטות וטילים
2019-07-03 07:20:00, איבים,1,5675,ירי רקטות וטילים
2019-07-12 21:58:00,ניר יצחק,1,5676,ירי רקטות וטילים
2019-07-12 21:58:00,סופה,1,5677,ירי רקטות וטילים
2019-07-13 10:31:00,כפר עזה,1,5678,ירי רקטות וטילים
2019-07-13 10:31:00,נחל עוז,1,5679,ירי רקטות וטילים
2019-07-31 10:07:00,אביאל,1,5680,ירי רקטות וטילים
2019-07-31 10:07:00,אור עקיבא,1,5681,ירי רקטות וטילים
2019-07-31 10:07:00,אזור תעשייה קיסריה,1,5682,ירי רקטות וטילים
2019-07-31 10:07:00,אלוני יצחק,1,5683,ירי רקטות וטילים
2019-07-31 10:07:00,באקה אל גרבייה,1,5684,ירי רקטות וטילים
2019-07-31 10:07:00,בית חנניה,1,5685,ירי רקטות וטילים
2019-07-31 10:07:00,בנימינה,1,5686,ירי רקטות וטילים
2019-07-31 10:07:00,ג'סר א-זרקא,1,5687,ירי רקטות וטילים
2019-07-31 10:07:00,ג'ת,1,5688,ירי רקטות וטילים
2019-07-31 10:07:00,גבעת ניל''י,1,5689,ירי רקטות וטילים
2019-07-31 10:07:00,גבעת עדה,1,5690,ירי רקטות וטילים
2019-07-31 10:07:00,גן השומרון,1,5691,ירי רקטות וטילים
2019-07-31 10:07:00,גן שמואל,1,5692,ירי רקטות וטילים
2019-07-31 10:07:00,זכרון יעקב,1,5693,ירי רקטות וטילים
2019-07-31 10:07:00,כפר גליקסון,1,5694,ירי רקטות וטילים
2019-07-31 10:07:00,כפר פינס,1,5695,ירי רקטות וטילים
2019-07-31 10:07:00,כרכור,1,5696,ירי רקטות וטילים
2019-07-31 10:07:00,להבות חביבה,1,5697,ירי רקטות וטילים
2019-07-31 10:07:00,מגל,1,5698,ירי רקטות וטילים
2019-07-31 10:07:00,מייסר,1,5699,ירי רקטות וטילים
2019-07-31 10:07:00,מעגן מיכאל,1,5700,ירי רקטות וטילים
2019-07-31 10:07:00,מעיין צבי,1,5701,ירי רקטות וטילים
2019-07-31 10:07:00,מצר,1,5702,ירי רקטות וטילים
2019-07-31 10:07:00,משמרות,1,5703,ירי רקטות וטילים
2019-07-31 10:07:00,עין עירון,1,5704,ירי רקטות וטילים
