mark	ESRI	Google	govmap
parking	33.017894, 35.105312	33.017905, 35.105335	33.0179095, 35.105323
watertank	33.226977, 35.777997	33.226977, 35.777970	33.2269893, 35.7779995
orchard	33.281172, 35.572761	33.281221, 35.572754	33.281207, 35.5727481
socker	33.265746, 35.769079	33.265751, 35.769036	33.2657678, 35.7690816
base	33.221401, 35.539481	33.221442, 35.539493	33.2214196, 35.5394822
mosque	33.145606, 35.208974	33.145621, 35.208980	
pendel	33.091139, 35.469291	33.091164, 35.469286	33.0911651, 35.4692713
greenhouse	33.087519, 35.451025	33.087542, 35.451054	33.0875286, 35.4510111
dock	33.013088, 35.088609	33.01307897455174, 35.0886293319847	33.0130889, 35.0886034
roundabout	33.008129, 35.089708	33.008130, 35.089723	33.0081364, 35.0897114
arrow	32.981794, 35.094483	32.981801, 35.094485	32.9818023, 35.0944817
	32.462388, 35.28378	32.462420, 35.283787	32.4624042, 35.283787
	32.351536, 35.082373		
	32.179803, 35.282521		
	32.04616165861175, 34.75833607617758		
	31.8946585, 34.8098848		
	31.866033755729582, 35.19130289598014		
	31.8360807318809, 34.7204179418743		
	31.8100853377308, 34.83504896078075		
	31.803896897337445, 35.11395051770754		
	31.79171962693051, 35.19633912505263		
	31.7052030735826, 34.6185964491199		
	31.676783, 34.564597		
	31.6698247, 34.56972		
	31.667538224484407, 34.566873559357184		
	31.6632444309682, 34.5578359719349		
	31.632644629168006, 34.546913465946986		
