נירים			31.334679, 34.391837	31.334853, 34.392459	31.334903, 34.393687	31.334908, 34.396761	31.33494, 34.397099	31.335302, 34.398606	31.336356, 34.39896	31.338944, 34.397346	31.339531, 34.394921	31.338527, 34.392534	31.33685, 34.390136	31.334702, 34.391799
עין השלושה			31.348158, 34.399406	31.352519, 34.40477	31.354242, 34.401326	31.352345, 34.39815	31.35076, 34.398569	31.348075, 34.399384						
ניר עוז; שכונה דרומית			31.308021, 34.401777	31.3091, 34.4018	31.309135, 34.401004	31.308196, 34.399931	31.307765, 34.399717	31.307471, 34.400811						
ניר עוז			31.309534, 34.400522	31.310955, 34.401884	31.311097, 34.402893	31.312728, 34.40285	31.312623, 34.401551	31.311418, 34.399384	31.309593, 34.398569					
אופקים	שביל הגיבורים	https://www.ofaqim.muni.il/%D7%A9%D7%91%D7%99%D7%9C-%D7%94%D7%92%D7%99%D7%91%D7%95%D7%A8%D7%99%D7%9D-%D7%9E%D7%A4%D7%AA-%D7%94%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D/												
חולית; ותיקים			31.232876, 34.325001	31.233073, 34.323977	31.231789, 34.32351	31.231569, 34.324615								
חולית; צעירים			31.232844, 34.32829	31.233115, 34.32726	31.232032, 34.32689	31.231793, 34.327941								
בארי; אשלים			31.421101, 34.492511	31.421632, 34.491888	31.42193, 34.492232	31.422355, 34.491942	31.423504, 34.493423	31.422731, 34.494399						
בארי; ההדרים			31.421101, 34.492511	31.421632, 34.491888	31.42193, 34.492232	31.422355, 34.491942	31.421998, 34.491207	31.421028, 34.491261	31.420437, 34.491776					
בארי; ותיקים			31.425376, 34.488573	31.422461, 34.488069	31.422406, 34.488739	31.421659, 34.488734	31.421664, 34.489394	31.423321,  34.489415	31.423376, 34.488911	31.425326, 34.489324				
בארי; הזיתים			31.421623, 34.487146	31.424928, 34.487232	31.425596, 34.488283	31.425376, 34.488573	31.421614, 34.487962							
בארי; קומותיים			31.421664, 34.489394	31.423321,  34.489415	31.423376, 34.488911	31.425326, 34.489324	31.425294, 34.490333	31.424562, 34.490349	31.424186, 34.489839	31.423527, 34.490166	31.423353, 34.489989	31.422905, 34.489807	31.421691, 34.489743	
בארי; אורנים			31.425317, 34.489555	31.425848, 34.490215	31.426503, 34.490086	31.42658, 34.489442	31.425596, 34.488283	31.425376, 34.488573	31.425322, 34.489582					
בארי; מרכז			31.421756, 34.491207	31.421545, 34.490472	31.421691, 34.489743	31.422905, 34.489807	31.423353, 34.489989	31.423335, 34.49096						
בארי; הכרם	N12	https://www.mako.co.il/news-israel/2024_q2/Article-8217cc4be682091026.htm												
סופה	עדות 710	https://edut.xsite.com/sufa												
נתיבות; קריית משה			31.420249, 34.588641	31.41905, 34.587214	31.422978, 34.582568	31.424269, 34.58406	31.423252, 34.585176	31.422868, 34.584779	31.421504, 34.586248	31.421925, 34.586731				
רעים	יסודות 7	https://www.idf.il/media/veknnpfo/yesodot_7_web_8_stern.pdf												
מגן	יסודות 7	https://www.idf.il/media/cwmns0yy/yesodot_7_web_9_noga.pdf												
ניר עוז; משק			31.306532, 34.403976	31.308933, 34.403418	31.308897, 34.405392	31.306678, 34.405521								
ניר יצחק	7.10.360	https://www.710360.kan.org.il/nir-yitzhak												
ניר יצחק; השכונה המזרחית	7.10.360	https://www.710360.kan.org.il/nir-yitzhak												
כיסופים; 21 ד			31.377162, 34.400393	31.377776, 34.399824	31.377199, 34.398934	31.376814, 34.399604								
כיסופים; 21 ו			31.376631, 34.396622	31.375784, 34.396997	31.375921, 34.395903									
כיסופים; 21 א			31.375875, 34.39593	31.374859, 34.396707	31.374369, 34.396042	31.374428, 34.39535	31.374419, 34.395307							
כיסופים; 21 ה			31.377162, 34.400393	31.376814, 34.399604	31.376136, 34.400119	31.376594, 34.400908								
