name_he,lat,lon,comment
איחוד האמירויות,24.024332,54.140746,
אנדרטת חץ שחור,31.510581,34.547195,
בלב ים מול חוף לבנון,33.321372,35.063526,
ג'באליה,,,alias: רצועת עזה; ג'באליה
ג’נין; מחנה הפליטים,32.460873,35.287335,
דרום לבנון,33.106785,35.373917,too_general
דרום לבנון; א-טייבה,33.277831,35.521398,
דרום לבנון; אל עדייסה,33.256381,35.541088,
דרום לבנון; אל-ג'יביין,33.12488,35.234984,
דרום לבנון; אל-ח'יאם,33.34464,35.612064,
דרום לבנון; ג׳בל בלט,33.1163,35.289976,
דרום לבנון; דבל,33.12205,35.366228,
דרום לבנון; דיר סיריאן,33.293005,35.500867,
דרום לבנון; זוטר א-שרקיה,33.322595,35.471605,
דרום לבנון; טיר חרפא,33.130573,35.218559,
דרום לבנון; יוחמור,33.310438,35.517894,
דרום לבנון; כפר כילא,33.2806,35.554652,
דרום לבנון; כפר תיבנית,33.355865,35.513465,
דרום לבנון; ליד בית ליף,33.134319,35.333869,
דרום לבנון; ליד יארון,33.082197,35.423319,
דרום לבנון; ליד לבונה,33.097886,35.148822,
דרום לבנון; מארון א-ראס,33.110114,35.444875,
דרום לבנון; מג'דל זון,33.153651,35.227222,
דרום לבנון; מייס אל-ג'בל,33.171592,35.520851,
דרום לבנון; עייתא א-שעב,33.100312,35.335215,
דרום לבנון; עייתרון,33.117934,35.469054,
דרום לבנון; צפונית לליטאני; סמוך לבופור,33.324023,35.531707,
דרום לבנון; קוזח,33.118942,35.341309,
דרום לבנון; קנטרה,33.215464,35.342501,
דרום לבנון; רב א-ת'לאת'ין,33.248895,35.517797,
דרום לבנון; רכס עלי טאהר,33.36342,35.51868,
דרום לבנון; שבעא,33.350656,35.750362,
כביש 234,31.377639,34.463253,too_general
מוצב בירנית,33.057181,35.339213,
מוצב מרגליות,33.223065,35.545752,
מזרחית לחניון רעים,31.397083,34.481524,
סמוך למעבר רפיח,31.250158,34.261637,
עוטף עזה,31.377639,34.463253,too_general
פסטיבל נובה,31.398427,34.46985,
פסטיבל נובה; קמפינג,31.397558,34.469288,
צפון רצועת עזה,31.456599,34.45703,too_general
ראשון לציון,31.965263,34.799318,
רפיח,,,alias: רצועת עזה; רפיח
רצועת עזה,31.456599,34.45703,too_general
רצועת עזה (מיקום לא פורסם),31.456599,34.45703,too_general
רצועת עזה; אל בורייג',31.440969,34.401876,
רצועת עזה; אל-קרארה,31.373388,34.364762,
רצועת עזה; בין הגבול לדראג' תופאח,31.500239,34.492968,
רצועת עזה; בית חאנון,31.53943,34.536425,
רצועת עזה; בית חאנון; מוצב פלסטין,31.536423,34.52958,
רצועת עזה; בית לאהיא,31.551236,34.509623,
רצועת עזה; בית לאהיא; א-סלאטין,31.553155,34.488043,
רצועת עזה; בית לאהיא; אל-עטאטרה,31.559598,34.487058,
רצועת עזה; בית לאהיא; בית החולים כאמל עדואן,31.538611,34.501389,
רצועת עזה; בית לאהיא; שייח זאיד,31.53793,34.517152,
רצועת עזה; בני סוהילה,31.341868,34.325282,
רצועת עזה; בני סוהילה; א-זאנה,31.345294,34.334395,
רצועת עזה; ג'באליה,31.534506,34.489517,
רצועת עזה; ג'באליה; בית החולים חאמד,31.547532,34.457196,
רצועת עזה; ג'באליה; נזלה,31.527995,34.488142,
רצועת עזה; ג'וחור א-דיכ,31.455596,34.438787,
רצועת עזה; ג'וחור א-דיכ; שכונת הנגדים; בניין 19,31.447337,34.427762,
רצועת עזה; דיר אל בלח,31.417376,34.350939,
רצועת עזה; ח'וזאעה,31.307296,34.360069,
רצועת עזה; חאן יונס,31.343183,34.305309,
רצועת עזה; חאן יונס,31.346086,34.30837,
רצועת עזה; חאן יונס; אל אמאל,31.357809,34.2948,
רצועת עזה; חאן יונס; אל-ג'לאא; מגדלי חמד,31.375963,34.317644,
רצועת עזה; חאן יונס; מחנה הפליטים,31.351318,34.28639,
רצועת עזה; חאן יונס; ציר מגן עוז,31.326309,34.305679,
רצועת עזה; מול כרם שלום,31.238453,34.275858,
רצועת עזה; מול נחל עוז,31.486321,34.490891,
רצועת עזה; מע'אזי,31.423341,34.385066,
רצועת עזה; נוסייראת,31.450083,34.391026,
רצועת עזה; עבסאן א-סע'ירה,31.339914,34.344553,
רצועת עזה; עבסאן אל-כבירה,31.322736,34.342107,
רצועת עזה; עזה,31.528178,34.448276,
רצועת עזה; עזה; א-נאצר,31.534215,34.459584,
רצועת עזה; עזה; דרג' תופאח,31.51329,34.486478,
רצועת עזה; עזה; זייתון,31.494335,34.453297,
רצועת עזה; עזה; ליד מסדרון נצרים,31.474958,34.426653,
רצועת עזה; עזה; ליד מסדרון נצרים; פאתי שכונת זייתון,31.49427876,34.4117463,
רצועת עזה; עזה; מדינת אל-עודה; המרובע הביטחוני,31.543333,34.454167,
רצועת עזה; עזה; מסדרון נצרים,,,alias: רצועת עזה; עזה; ליד מסדרון נצרים
רצועת עזה; עזה; רימאל,31.519288,34.444284,
רצועת עזה; עזה; שאטי,31.539281,34.453326,
רצועת עזה; עזה; שג'אעיה,31.501058,34.470688,
רצועת עזה; עזה; שיח עג'לין,31.510142,34.425659,
רצועת עזה; עזה; שיח' רדואן,31.536305,34.465028,
רצועת עזה; עזה; תל אל-הווא; בית החולים אל-קודס,31.506111,34.430556,
רצועת עזה; פאתי ג'באליה,31.525555,34.501475,
רצועת עזה; פרימטר,31.456599,34.45703,too_general
רצועת עזה; ציר כיסופים,31.377248,34.35928,
רצועת עזה; רפיח,31.280443,34.257744,
רצועת עזה; רפיח; ג'נינה,31.277798,34.265917,
רצועת עזה; רפיח; ליד ציר פילדלפי,31.270361,34.249808,
רצועת עזה; רפיח; מזרחית לרפיח,31.295319,34.282439,
רצועת עזה; רפיח; מחנה פליטים; ליד ציר פילדלפי,31.281101,34.247041,
רצועת עזה; רפיח; שאבורה,31.283919,34.255581,
רצועת עזה; רפיח; תל א-סולטאן,31.311606,34.241246,
רצועת עזה; שוכת א-סופי,31.252121,34.265927,
