loc,lat,long
 ,0.0,0.0
?,0.0,0.0
אבו גוש,31.806293,35.109193
אבו תלול,31.1430514550183,34.9133852980859
אבן יהודה,32.2700426,34.8809634
אדרת,31.659715,34.99444
אוהד,31.238436,34.431893
אופקים,31.311337,34.622824
אור עקיבא,32.509965,34.920394
אורה,31.752109,35.150165
אזור,32.0245041,34.8058575
אחוזת ברק,32.643101,35.338893
אילת,29.557669,34.951925
איתמר,32.173869,35.308029
אכסאל,32.682085,35.320743
אלבאת הפזורה הבדואית,31.2722558618528,35.0251955342075
אלון שבות,31.654871,35.125256
אליכין,32.407659,34.925028
אלפי מנשה,32.170631,35.014858
אלקוש,33.034294,35.326348
אפרת,31.653589,35.149934
ארז,31.55984,34.564889
אריאל,32.104637,35.174514
אשדוד,31.804381,34.655314
אשקלון,31.6687885,34.5742523
באר שבע,31.2521018,34.7867691
בארי,31.424513,34.492567
ביצרון,31.7949517,34.7293463
בית אלפא,32.516357,35.430499
בית אריה,32.040059,35.049472
בית יצחק,32.33558,34.8895
בית שאן,32.497103,35.497336
בית שמש,31.747041,34.988099
בית שקמה,31.637735,34.610074
בן שמן,31.959019,34.927831
בנימינה,32.5192191,34.9486079
בר גיורא,31.729683,35.073414
ברקאי,32.476096,35.031044
ברקת,32.018344,34.943179
בת חפר,32.333714,35.013729
בת ים,32.0151439,34.752885
גאולים,32.296487,34.943862
גבים,31.506273,34.598949
גבעת אלה,32.722007,35.244822
גבעת ברנר,31.86661,34.802254
גבעת זאב,31.861189,35.167252
גבעת שמואל,32.077299,34.849206
גבעת שפירא,32.35763,34.875845
גבעתיים,32.075318,34.8086113
גדרה,31.8123014,34.7770192
גיאה,31.628467,34.602678
גיבתון,31.888318,34.79906
גילת,31.326321,34.648934
גן דרום,31.804056,34.69987
גן הדרום,31.804056,34.69987
גן השומרון,32.465007,34.999047
גן חיים,32.195761,34.906957
גן יבנה,31.783056,34.703101
גן נר,32.528706,35.336254
גנות,32.018204,34.825877
גני טל,31.788573,34.791392
גני יוחנן,31.859924,34.840827
גני תקווה,32.060497,34.873121
גשר הזיו,33.040532,35.110563
דברת,32.646729,35.350085
דימונה,31.069419,35.033363
דקל,32.8223665,34.9947486
הוד השרון,32.149961,34.8838788
הושעיה,32.757927,35.295225
הפזורה הבדואית בנגב,30.7140861,34.8757476
הפיליפינים,12.879721,121.774017
זיקים,31.607204,34.520968
זיתן,31.975178,34.891732
