loc,lat,long,km_from_Gaza
'ביר הדאג,31.02316,34.709138,44.346
אבו סנאן,32.958,35.172,164.101
אבו קרינאת,31.103115,34.952003,59.892
אבו קרינאת והפזורה,31.1031,34.952,59.892
אבו תלול,31.142612,34.913514,54.461
אבו-גוש,31.8063,35.1092,59.559
אבו-תלול והפזורה,31.1907,34.9161,50.709
אבטליון,32.8358,35.3504,159.588
אביאל,32.5313,34.9935,114.06
אביבים,33.0894,35.4703,189.547
אביגדור,31.7119,34.7404,25.103
אביעזר,31.682,35.0188,46.112
אבירים,33.0381,35.286,176.58
אבן יהודה,32.2766,34.8851,84.177
אבן מנחם,33.0751,35.2952,180.659
אבן ספיר,31.7625,35.135,59.616
אבן שמואל,31.5764,34.763,19.626
אבני איתן,32.8248,35.7658,181.669
אבנת,31.679,35.4369,84.563
אבשלום,31.1954,34.3312,6.5
אדורה,31.5522,35.0176,43.533
אדוריים,31.4827,35.0436,46.408
אדמית,33.0788,35.2095,177.806
אדרת,31.6597,34.9944,43.153
אודים,32.2669,34.847,81.663
אודם,33.1934,35.7496,213.087
אוהד,31.238436,34.431893,9.604
אום אל פחם,32.5171,35.1485,119.543
אום אל קוטוף,32.4681,35.0592,110.612
אום אל-גנם,32.6867,35.3903,147.754
אום אל-פחם,32.517127,35.148529,119.547
אום בטין,31.2767437,34.8829215,41.938
אום בטין והפזורה,31.2694,34.8811,42.337
אופקים,31.3113,34.6228,22.406
אור הגנוז,33.0052,35.4467,180.348
אור הנר,31.5562,34.6023,4.222
אור יהודה,32.0297,34.8562,59.248
אור עקיבא,32.51,34.9204,109.169
אורה,31.7521,35.1502,60.499
אורון תעשייה ומסחר,30.9115,35.0177,75.792
אורות,31.74176,34.734758,27.277
אורטל,33.0862,35.7587,203.853
אורים,31.3041,34.5249,14.448
אורנים,32.7112,35.1096,136.749
אורנית,32.1319,34.9908,75.966
אושה,32.7965,35.1146,145.538
אזור,32.0296,34.7996,56.275
אזור תעשייה אכזיב מילואות,33.0684,35.1102,173.377
אזור תעשייה אלון התבור,32.6345,35.3603,141.407
אזור תעשייה אפק ולב הארץ,32.10799,34.953088,71.681
אזור תעשייה באר טוביה,31.7249,34.751,26.843
אזור תעשייה בני יהודה,32.8023,35.7156,176.725
אזור תעשייה בר-לב,32.9063,35.1948,159.728
אזור תעשייה ברוש,31.7331,34.9594,43.215
אזור תעשייה דימונה,31.0646,35.0188,67.447
אזור תעשייה הדרומי אשקלון,31.6361,34.5545,7.516
אזור תעשייה הר טוב - צרעה,31.7728,34.9981,48.581
אזור תעשייה חבל מודיעין,32.0131,34.9595,63.967
אזור תעשייה חצור הגלילית,32.9842,35.5521,183.553
אזור תעשייה כנות,31.8013,34.7591,33.798
אזור תעשייה כרמיאל,32.9263,35.3191,166.892
אזור תעשייה מבואות הגלבוע,32.5672,35.2676,130.297
אזור תעשייה מיתרים,31.3726,35.0055,46.052
אזור תעשייה נ.ע.מ,31.4138,34.6149,13.262
אזור תעשייה ניר עציון,32.7019,34.973,130.796
אזור תעשייה נשר - רמלה,31.9179,34.892,51.819
אזור תעשייה עד הלום,31.7581,34.6559,23.844
אזור תעשייה עידן הנגב,31.3808,34.786,27.424
אזור תעשייה צ.ח.ר,32.9705521,35.5646455,182.94
אזור תעשייה ציפורית,32.7595,35.3161,150.682
אזור תעשייה צמח,32.7033,35.5869,160.534
אזור תעשייה צפוני אשקלון,31.6647,34.5981,12.451
אזור תעשייה קדמת גליל,32.7854,35.4631,160.632
אזור תעשייה קיסריה,32.4865,34.9464,107.714
אזור תעשייה קריית גת,31.5962,34.7848,22.105
אזור תעשייה רגבים,32.5217,35.024,114.334
אזור תעשייה רותם,31.06,35.1949,80.13
אזור תעשייה רמת דלתון,33.0279,35.4768,183.943
אזור תעשייה שחורת,29.5979,34.9719,191.778
אזור תעשייה שער נעמן,32.8805,35.0976,153.49
אזור תעשייה תימורים,31.7242,34.7615,27.472
אזור תעשייה תרדיון,32.8677,35.2731,159.134
אחווה,31.7429,34.7678,29.389
אחוזם,31.5527,34.7701,20.039
אחוזת ברק,32.6431,35.3389,141.027
אחיהוד,32.9074,35.1717,158.948
אחיסמך,31.9319,34.9086,54.022
אחיעזר,31.9817,34.8718,55.964
איבטין,32.76,35.1146,141.85
איבים,31.533597,34.609697,4.852
איילת השחר,33.0211,35.5767,188.236
אילון,33.0625,35.2192,176.491
אילות,29.5805,34.963,193.289
אילניה,32.7539,35.4082,154.834
אילת,29.5577,34.9519,195.303
אירוס,31.9286,34.7766,45.757
איתן,31.5722,34.7479,18.136
אכסאל,32.6821,35.3207,143.655
אל מסק,50.5767015,8.0483603,3031.882
אל סייד,31.281719,34.916298,43.972
אל עזי,31.7189,34.8143,30.812
אל עמארני,31.1677931042934,34.9696354865507,56.136
אל עריאן,32.4981,35.1251,116.601
אל פורעה,31.2288086748377,35.1645333856259,66.783
אל רום,33.1805,35.7701,212.988
אל-ח'וואלד מערב,32.771,35.1363,143.814
אל-סייד והפזורה,31.281719,34.916298,43.972
אלומה,31.652,34.7429,20.97
אלומות,32.7066,35.5461,158.365
אלון הגליל,32.7569,35.2203,145.964
אלון שבות,31.6549,35.1253,55.043
אלוני אבא,32.7309,35.172,141.303
אלוני הבשן,33.0441,35.8385,204.676
אלוני יצחק,32.51,35.0052,112.393
אלונים,32.7215,35.1434,139.163
אלי עד,32.8066,35.7366,178.361
אליאב,31.5302,34.9284,35.113
אליפלט,32.9478,35.5485,180.004
אלישמע,32.1548,34.9305,74.639
אלמגור,32.9127,35.6023,179.694
אלעד,32.0495,34.9507,66.524
אלעזר,31.6597,35.1431,56.807
אלפי מנשה,32.1706,35.0149,80.742
אלקוש,33.0343,35.3263,177.845
אלקנה,32.1106,35.0321,76.67
אמונים,31.7439,34.6745,23.806
אמירים,32.9374,35.4504,174.072
אמנון,32.905,35.5711,177.299
אמציה,31.5312,34.9145,33.789
אניעם,32.9566,35.7397,191.334
אעבלין,32.8218,35.1901,151.074
אעצם,31.2968415073093,34.9032308563051,41.95
אפיק,32.7794,35.703,174.027
אפיקים,32.6806,35.5777,158.06
אפק,32.8383,35.1278,150.277
אפרת,31.6536,35.1499,57.295
ארבל,32.8127,35.4826,164.16
ארז,31.5597,34.565,1.519
אריאל,32.1046,35.1745,84.953
ארסוף,32.2128,34.816,74.993
אשבול,31.4455,34.6667,14.132
אשבל,32.877,35.306,161.499
אשדוד - א,31.804381,34.655314,27.881
"אשדוד - א,ב,ד,ה",31.8047,34.6469,27.472
אשדוד - אזור תעשייה צפוני ונ,31.832549376313,34.6794402417561,31.748
אשדוד - איזור תעשייה צפוני,31.832549376313,34.6794402417561,31.748
