enterDate,casualtiesPerDay,dateOrder,eventType,eventOrder
2023-12-11T00:00:00.000Z,118,66,חרבות ברזל,2
2024-06-26T00:00:00.000Z,13,264,חרבות ברזל,2
2025-01-08T00:00:00.000Z,7,460,סך הכל,0
2025-01-09T00:00:00.000Z,16,461,חרבות ברזל,2
2025-01-09T00:00:00.000Z,16,461,סך הכל,0
2025-01-10T00:00:00.000Z,17,462,סך הכל,0
2025-01-10T00:00:00.000Z,17,462,חרבות ברזל,2
2025-01-11T00:00:00.000Z,17,463,חרבות ברזל,2
2025-01-11T00:00:00.000Z,17,463,סך הכל,0
2025-01-12T00:00:00.000Z,13,464,סך הכל,0
2025-01-12T00:00:00.000Z,13,464,חרבות ברזל,2
2025-01-13T00:00:00.000Z,16,465,סך הכל,0
2025-01-13T00:00:00.000Z,16,465,חרבות ברזל,2
2025-01-14T00:00:00.000Z,55,466,סך הכל,0
2025-01-14T00:00:00.000Z,55,466,חרבות ברזל,2
2025-01-15T00:00:00.000Z,19,467,סך הכל,0
2025-01-15T00:00:00.000Z,19,467,חרבות ברזל,2
2025-01-16T00:00:00.000Z,6,468,סך הכל,0
2025-01-16T00:00:00.000Z,6,468,חרבות ברזל,2
2025-01-17T00:00:00.000Z,10,469,חרבות ברזל,2
2025-01-17T00:00:00.000Z,10,469,סך הכל,0
2025-01-18T00:00:00.000Z,17,470,חרבות ברזל,2
2025-01-18T00:00:00.000Z,17,470,סך הכל,0
2025-01-19T00:00:00.000Z,29,471,סך הכל,0
2025-01-19T00:00:00.000Z,29,471,חרבות ברזל,2
2025-01-20T00:00:00.000Z,7,472,חרבות ברזל,2
2025-01-20T00:00:00.000Z,7,472,סך הכל,0
2025-01-21T00:00:00.000Z,16,473,סך הכל,0
2025-01-21T00:00:00.000Z,16,473,חרבות ברזל,2
2025-01-22T00:00:00.000Z,8,474,חרבות ברזל,2
2025-01-22T00:00:00.000Z,8,474,סך הכל,0
2025-01-23T00:00:00.000Z,5,475,סך הכל,0
2025-01-23T00:00:00.000Z,5,475,חרבות ברזל,2
2025-01-24T00:00:00.000Z,5,476,חרבות ברזל,2
2025-01-24T00:00:00.000Z,5,476,סך הכל,0
2025-01-25T00:00:00.000Z,10,477,סך הכל,0
2025-01-25T00:00:00.000Z,10,477,חרבות ברזל,2
2025-01-26T00:00:00.000Z,6,478,חרבות ברזל,2
2025-01-26T00:00:00.000Z,6,478,סך הכל,0
2025-01-27T00:00:00.000Z,15,479,חרבות ברזל,2
2025-01-27T00:00:00.000Z,15,479,סך הכל,0
2025-01-28T00:00:00.000Z,8,480,סך הכל,0
2025-01-28T00:00:00.000Z,8,480,חרבות ברזל,2
2025-01-29T00:00:00.000Z,7,481,סך הכל,0
2025-01-29T00:00:00.000Z,7,481,חרבות ברזל,2
2025-01-30T00:00:00.000Z,20,482,סך הכל,0
2025-01-30T00:00:00.000Z,20,482,חרבות ברזל,2
2025-01-31T00:00:00.000Z,4,483,סך הכל,0
2025-01-31T00:00:00.000Z,4,483,חרבות ברזל,2
2025-02-01T00:00:00.000Z,7,484,סך הכל,0
2025-02-01T00:00:00.000Z,7,484,חרבות ברזל,2
2025-02-02T00:00:00.000Z,8,485,סך הכל,0
2025-02-02T00:00:00.000Z,8,485,חרבות ברזל,2
2025-02-03T00:00:00.000Z,4,486,חרבות ברזל,2
2025-02-03T00:00:00.000Z,4,486,סך הכל,0
2025-02-04T00:00:00.000Z,10,487,סך הכל,0
2025-02-04T00:00:00.000Z,10,487,חרבות ברזל,2
2025-02-05T00:00:00.000Z,3,488,חרבות ברזל,2
2025-02-05T00:00:00.000Z,3,488,סך הכל,0
2025-02-06T00:00:00.000Z,17,489,חרבות ברזל,2
2025-02-06T00:00:00.000Z,17,489,סך הכל,0
2025-02-07T00:00:00.000Z,10,490,סך הכל,0
2025-02-07T00:00:00.000Z,10,490,חרבות ברזל,2
2025-02-08T00:00:00.000Z,8,491,סך הכל,0
2025-02-08T00:00:00.000Z,8,491,חרבות ברזל,2
2025-02-09T00:00:00.000Z,5,492,חרבות ברזל,2
2025-02-09T00:00:00.000Z,5,492,סך הכל,0
2025-02-10T00:00:00.000Z,2,493,סך הכל,0
2025-02-10T00:00:00.000Z,2,493,חרבות ברזל,2
2025-02-11T00:00:00.000Z,3,494,חרבות ברזל,2
2025-02-11T00:00:00.000Z,3,494,סך הכל,0
2025-02-12T00:00:00.000Z,7,495,חרבות ברזל,2
2025-02-12T00:00:00.000Z,7,495,סך הכל,0
2025-02-13T00:00:00.000Z,7,496,סך הכל,0
2025-02-13T00:00:00.000Z,7,496,חרבות ברזל,2
2025-02-14T00:00:00.000Z,5,497,חרבות ברזל,2
2025-02-14T00:00:00.000Z,5,497,סך הכל,0
2025-02-15T00:00:00.000Z,3,498,סך הכל,0
2025-02-15T00:00:00.000Z,3,498,חרבות ברזל,2
2025-02-16T00:00:00.000Z,4,499,סך הכל,0
2025-02-16T00:00:00.000Z,4,499,חרבות ברזל,2
2025-02-17T00:00:00.000Z,3,500,סך הכל,0
2025-02-17T00:00:00.000Z,3,500,חרבות ברזל,2
2025-02-18T00:00:00.000Z,13,501,סך הכל,0
2025-02-18T00:00:00.000Z,13,501,חרבות ברזל,2
2025-02-19T00:00:00.000Z,5,502,חרבות ברזל,2
2025-02-19T00:00:00.000Z,5,502,סך הכל,0
2025-02-20T00:00:00.000Z,4,503,סך הכל,0
2025-02-20T00:00:00.000Z,4,503,חרבות ברזל,2
2025-02-21T00:00:00.000Z,1,504,חרבות ברזל,2
2025-02-21T00:00:00.000Z,1,504,סך הכל,0
2025-02-22T00:00:00.000Z,6,505,סך הכל,0
2025-02-22T00:00:00.000Z,6,505,חרבות ברזל,2
2025-02-23T00:00:00.000Z,2,506,חרבות ברזל,2
2025-02-23T00:00:00.000Z,2,506,סך הכל,0
2025-02-24T00:00:00.000Z,7,507,סך הכל,0
2025-02-24T00:00:00.000Z,7,507,חרבות ברזל,2
2025-02-25T00:00:00.000Z,1,508,חרבות ברזל,2
2025-02-25T00:00:00.000Z,1,508,סך הכל,0
2025-02-26T00:00:00.000Z,11,509,סך הכל,0
2025-02-26T00:00:00.000Z,11,509,חרבות ברזל,2
2025-02-27T00:00:00.000Z,21,510,סך הכל,0
2025-02-27T00:00:00.000Z,21,510,חרבות ברזל,2
2025-02-28T00:00:00.000Z,18,511,סך הכל,0
2025-02-28T00:00:00.000Z,18,511,חרבות ברזל,2
2025-03-01T00:00:00.000Z,21,512,חרבות ברזל,2
2025-03-01T00:00:00.000Z,21,512,סך הכל,0
2025-03-02T00:00:00.000Z,1,513,חרבות ברזל,2
2025-03-02T00:00:00.000Z,1,513,סך הכל,0
2025-03-03T00:00:00.000Z,12,514,סך הכל,0
2025-03-03T00:00:00.000Z,12,514,חרבות ברזל,2
2025-03-04T00:00:00.000Z,5,515,סך הכל,0
2025-03-04T00:00:00.000Z,5,515,חרבות ברזל,2
2025-03-05T00:00:00.000Z,4,516,סך הכל,0
2025-03-05T00:00:00.000Z,4,516,חרבות ברזל,2
2025-03-06T00:00:00.000Z,3,517,סך הכל,0
2025-03-06T00:00:00.000Z,3,517,חרבות ברזל,2
2025-03-07T00:00:00.000Z,2,518,סך הכל,0
2025-03-07T00:00:00.000Z,2,518,חרבות ברזל,2
2025-03-08T00:00:00.000Z,2,519,סך הכל,0
2025-03-08T00:00:00.000Z,2,519,חרבות ברזל,2
2025-03-09T00:00:00.000Z,4,520,חרבות ברזל,2
2025-03-09T00:00:00.000Z,4,520,סך הכל,0
2025-03-10T00:00:00.000Z,5,521,סך הכל,0
2025-03-10T00:00:00.000Z,5,521,חרבות ברזל,2
2025-03-11T00:00:00.000Z,5,522,חרבות ברזל,2
2025-03-11T00:00:00.000Z,5,522,סך הכל,0
2025-03-12T00:00:00.000Z,3,523,סך הכל,0
2025-03-12T00:00:00.000Z,3,523,חרבות ברזל,2
2025-03-13T00:00:00.000Z,4,524,חרבות ברזל,2
2025-03-13T00:00:00.000Z,4,524,סך הכל,0
2025-03-15T00:00:00.000Z,3,526,חרבות ברזל,2
2025-09-18T00:00:00.000Z,16,712,חרבות ברזל,2
2025-09-18T00:00:00.000Z,16,712,סך הכל,0
2025-09-19T00:00:00.000Z,19,713,סך הכל,0
2025-09-19T00:00:00.000Z,19,713,חרבות ברזל,2
2025-09-20T00:00:00.000Z,11,714,סך הכל,0
2025-09-20T00:00:00.000Z,11,714,חרבות ברזל,2
2025-09-21T00:00:00.000Z,31,715,סך הכל,0
2025-09-21T00:00:00.000Z,31,715,חרבות ברזל,2
2024-06-27T00:00:00.000Z,38,265,סך הכל,0
2024-06-27T00:00:00.000Z,38,265,חרבות ברזל,2
2024-06-28T00:00:00.000Z,21,266,סך הכל,0
2024-06-28T00:00:00.000Z,21,266,חרבות ברזל,2
2024-06-29T00:00:00.000Z,20,267,סך הכל,0
2024-06-29T00:00:00.000Z,20,267,חרבות ברזל,2
2024-06-30T00:00:00.000Z,68,268,חרבות ברזל,2
2024-06-30T00:00:00.000Z,68,268,סך הכל,0
2024-07-01T00:00:00.000Z,33,269,סך הכל,0
2024-07-01T00:00:00.000Z,33,269,חרבות ברזל,2
2024-07-02T00:00:00.000Z,36,270,חרבות ברזל,2
2024-07-02T00:00:00.000Z,36,270,סך הכל,0
2024-07-03T00:00:00.000Z,36,271,סך הכל,0
2024-07-03T00:00:00.000Z,36,271,חרבות ברזל,2
2024-07-04T00:00:00.000Z,29,272,חרבות ברזל,2
2024-07-04T00:00:00.000Z,29,272,סך הכל,0
2024-07-05T00:00:00.000Z,33,273,סך הכל,0
2024-07-05T00:00:00.000Z,33,273,חרבות ברזל,2
2024-07-06T00:00:00.000Z,12,274,חרבות ברזל,2
2024-07-06T00:00:00.000Z,12,274,סך הכל,0
2024-07-07T00:00:00.000Z,21,275,סך הכל,0
2024-07-07T00:00:00.000Z,21,275,חרבות ברזל,2
2024-07-08T00:00:00.000Z,27,276,חרבות ברזל,2
2024-07-08T00:00:00.000Z,27,276,סך הכל,0
2024-07-09T00:00:00.000Z,25,277,חרבות ברזל,2
2024-07-09T00:00:00.000Z,25,277,סך הכל,0
2024-07-10T00:00:00.000Z,22,278,חרבות ברזל,2
2024-07-10T00:00:00.000Z,22,278,סך הכל,0
2024-07-11T00:00:00.000Z,19,279,חרבות ברזל,2
2024-07-11T00:00:00.000Z,19,279,סך הכל,0
2024-07-12T00:00:00.000Z,11,280,סך הכל,0
2024-07-12T00:00:00.000Z,11,280,חרבות ברזל,2
2024-07-13T00:00:00.000Z,26,281,סך הכל,0
2024-07-13T00:00:00.000Z,26,281,חרבות ברזל,2
2024-07-14T00:00:00.000Z,23,282,סך הכל,0
2024-07-14T00:00:00.000Z,23,282,חרבות ברזל,2
2024-07-15T00:00:00.000Z,15,283,סך הכל,0
2024-07-15T00:00:00.000Z,15,283,חרבות ברזל,2
2024-07-16T00:00:00.000Z,19,284,סך הכל,0
2024-07-16T00:00:00.000Z,19,284,חרבות ברזל,2
2024-07-17T00:00:00.000Z,18,285,סך הכל,0
2024-07-17T00:00:00.000Z,18,285,חרבות ברזל,2
2024-07-18T00:00:00.000Z,16,286,חרבות ברזל,2
2024-07-18T00:00:00.000Z,16,286,סך הכל,0
2024-07-19T00:00:00.000Z,18,287,סך הכל,0
2024-07-19T00:00:00.000Z,18,287,חרבות ברזל,2
2024-07-20T00:00:00.000Z,8,288,חרבות ברזל,2
2024-07-20T00:00:00.000Z,8,288,סך הכל,0
2024-07-21T00:00:00.000Z,14,289,סך הכל,0
2024-07-21T00:00:00.000Z,14,289,חרבות ברזל,2
2024-07-22T00:00:00.000Z,18,290,חרבות ברזל,2
2024-07-22T00:00:00.000Z,18,290,סך הכל,0
2024-07-23T00:00:00.000Z,22,291,סך הכל,0
2024-07-23T00:00:00.000Z,22,291,חרבות ברזל,2
2024-07-24T00:00:00.000Z,13,292,חרבות ברזל,2
2024-07-24T00:00:00.000Z,13,292,סך הכל,0
2024-07-25T00:00:00.000Z,20,293,סך הכל,0
2024-07-25T00:00:00.000Z,20,293,חרבות ברזל,2
2024-07-26T00:00:00.000Z,12,294,חרבות ברזל,2
2024-07-26T00:00:00.000Z,12,294,סך הכל,0
2024-07-27T00:00:00.000Z,59,295,חרבות ברזל,2
2024-07-27T00:00:00.000Z,59,295,סך הכל,0
2024-07-28T00:00:00.000Z,29,296,סך הכל,0
2024-07-28T00:00:00.000Z,29,296,חרבות ברזל,2
2024-07-29T00:00:00.000Z,18,297,סך הכל,0
2024-07-29T00:00:00.000Z,18,297,חרבות ברזל,2
2024-07-30T00:00:00.000Z,32,298,סך הכל,0
2024-07-30T00:00:00.000Z,32,298,חרבות ברזל,2
2024-07-31T00:00:00.000Z,17,299,סך הכל,0
