name,lat,long,total,eng,oct7map
פסטיבל נובה,31.4014870534664,34.4724927048611,191,Nova festival,Nova
בארי,31.424513,34.492567,129,K?ibbutz Be'eri,Be'eri
כפר עזה,31.483416,34.532291,79,Kfar Aza,Kfar Aza
ניר עוז,31.309697,34.402075,53,Nir Oz,Nir Oz
מוצב נחל עוז,31.4792874887897,34.5015939038425,52,Nahal Oz Base,Nahal Oz Base
שדרות,31.522694,34.595581,52,Sderot,Sderot
צומת רעים,31.3880609362127,34.4510943485888,48,Re'im jct,
סמוך למפלסים,31.5048736098764,34.5641492047324,43,Near Miflasim,Mefalsim
אופקים,31.311337,34.622824,33,Ofakim,Ofakim
צומת שער הנגב,31.5083627179843,34.5865975081832,31,Sha'ar HaNegev jct,
צומת גמה,31.3812566120664,34.4472232110629,29,Gamma jct,
כיסופים,31.374545,34.398992,28,Kibbutz Kisufim,Kissufim
עלומים,31.450684,34.511386,27,Alumim,Alumim
צומת בארי,31.4299283474857,34.4971577980422,20,Shelter at Be'eri jct,
נתיב העשרה,31.572407,34.539322,18,Netiv HaAsara,Netiv HaAsara
חוף זיקים,31.6126901,34.5045404,18,Zikim Beach,Zikim Beach
רעים,31.3836193993611,34.4619630054181,18,Kibbutz Re'im,Re'im
חולית,31.230563,34.32734,17,Holit,Holit
נחל עוז,31.47268,34.497675,16,Kibbutz Nahal Oz,Nahal Oz
מוצב פגה,31.451442032419,34.4694931921028,14,Paga Base,Paga Post
מוצב כיסופים,31.3755033791164,34.4073817306006,14,Kisufim Base,Kissufim Base
בכניסה לעלומים,31.4510040473571,34.5167553851208,13,Near Alumim,
מוצב סופה,31.2402695741122,34.3362364083698,12,Sufa Base,Sufa Base
צומת מבטחים,31.256889,34.403065,12,Mivtahim jct,Mivtahim
מעבר ארז,31.5605566379382,34.5441659545204,10,Erez Checkpoint,Erez Checkpoint
נירים,31.33573,34.394087,8,Nirim,Nirim
מוצב יפתח,31.596972587333,34.5117547187511,8,Yiftah Base,
דרומית לגבים,31.4983622081798,34.5916508458874,8,South of Gevim,Gevim
מחנה אורים,31.3153804671977,34.5412076991259,8,Urim Base,Urim Base
מחנה רעים,31.3631573328565,34.4452834913286,7,Re'im Base,Re'im Base
מחנה זיקים,31.604753586258,34.5073326774338,7,Zikim Base,Zikim Base
כביש שער הנגב מפלסים,31.5039803105381,34.5777168985604,7,Sha’ar Hanegev Mefalsim road,
אנדרטת חץ שחור,31.507172,34.553013,6,Black Arrow Memorial,
יכיני,31.482205,34.598634,6,Yakhini,Yakhini
ניר יצחק,31.23604,34.356702,6,Nir Yitzhak,Nir Yitzhak
מבטחים,31.242423,34.407488,5,Mivtahim,
כרם שלום,31.228281,34.284559,5,Kerem Shalom,
"מו""פ דרום",31.2742733480027,34.3867808772305,4,MOP Darom,
יד מרדכי - נתיב העשרה,31.5770551315379,34.5528746410571,4,Yad Mordekhai-Netiv HaAsara,
עין השלושה,31.351722,34.403471,4,Ein HaShlosha,Ein HaShlosha
אבו קרינאת,31.2645372452125,35.0071586552229,4,Abu Qreinat,
"מש""א ארז",31.6054753165714,34.5024353281107,4,MASA Erez,
צומת אורים,31.317032810289,34.5289920555347,3,Urim jct,
צומת מעון,31.3135022215298,34.4391187940375,3,Maon jct,
ג'באליה,31.5300722770168,34.4797195421764,3,Jabalya,
"ביה""ח שיפא",31.5325563751117,34.4437725529408,3,Shifa Hospital,
בין ניר עוז לגבול,31.301722,34.373883,3,Between Nir Oz and the border,
נתיבות,31.423196,34.595254,3,Netivot,
כביש סעד - נחל עוז,31.4759196313343,34.5154388189858,3,Saad - Nahal Oz road,
סופה,31.238309,34.341987,3,Kibbutz Sufa,Sufa
מדרום לצומת גמה,31.37176,34.448987,3,South of Gamma jct,
ירי בשוגג בשג'אעיה,31.48884,34.463335,3,Friendly fire in Shejaiya,
