year,armed_forces,civilians,population,jewish_population,comment
1873,1,,,,
1881,1,,,24000,
1886,1,,,,
1887,1,,,,
1890,1,,,,
1900,1,,,,
1902,1,,,,
1903,1,,,,
1909,4,,,,
1910,2,,,,
1911,2,,,,
1912,2,,,,
1913,7,,,,
1914,2,,,,
1915,14,,,87500,
1916,8,,,,
1917,19,,,,
1918,67,,,,
1919,17,,,,
1920,24,,,,
1921,31,,,,
1922,2,,,83790,
1923,3,,,,
1924,1,,,,
1925,1,,,,
1927,2,,,,
1928,2,,,,
1929,21,,,,
1930,2,,,,
1931,3,,,174606,
1933,3,,,,
1934,1,,,,
1935,2,,,,
1936,57,,,400000,"https://he.wikipedia.org/wiki/%D7%99%D7%94%D7%93%D7%95%D7%AA_%D7%99%D7%A9%D7%A8%D7%90%D7%9C#:~:text=%D7%99%D7%94%D7%93%D7%95%D7%AA%20%D7%99%D7%A9%D7%A8%D7%90%D7%9C%20%D7%94%D7%99%D7%90%20%D7%94%D7%A7%D7%94%D7%99%D7%9C%D7%94,%D7%94%D7%99%D7%90%20%D7%9E%D7%95%D7%A0%D7%94%20%D7%9B%2D7%2C283%2C000%20%D7%A0%D7%A4%D7%A9%D7%95%D7%AA."
1937,31,,,,
1938,228,,,,
1939,101,,,,
1940,56,,,,
1941,122,,,,
1942,100,,,478602,https://www.cbs.gov.il/he/publications/doclib/2021/atlas18_70/%D7%90%D7%98%D7%9C%D7%A1_70_%D7%90%D7%99%D7%9B%D7%95%D7%AA%20%D7%A4%D7%A8%D7%A7_1.pdf
1943,241,,,,
1944,91,,,,
1945,149,,,,
1946,90,,,,
1947,198,3,,630000,https://fs.knesset.gov.il/globaldocs/MMM/9107116b-1c0e-e711-80cc-00155d0206a2/2_9107116b-1c0e-e711-80cc-00155d0206a2_11_8715.pdf
1948,4416,2373,,806000,https://he.wikipedia.org/wiki/%D7%9E%D7%9C%D7%97%D7%9E%D7%AA_%D7%94%D7%A2%D7%A6%D7%9E%D7%90%D7%95%D7%AA
1949,295,4,1059000,901000,https://www.cbs.gov.il/he/Statistics/Pages/%D7%9E%D7%97%D7%95%D7%9C%D7%9C%D7%99%D7%9D/%D7%9E%D7%97%D7%95%D7%9C%D7%9C-%D7%A1%D7%93%D7%A8%D7%95%D7%AA.aspx?subject=2
1950,131,6,1266800,1103000,נתוני גודל אוכלוסיה: ממוצע לשנה
1951,185,10,1494300,1324000,
1952,145,4,1606200,1429800,
1953,149,15,1650300,1467700,
1954,144,6,1689500,1500700,
1955,141,1,1750400,1555300,
1956,422,12,1828400,1626400,
1957,107,4,1930400,1721200,
1958,87,5,2000100,1782700,
1959,83,3,2062100,1836200,
1960,84,1,2117000,1882600,
1961,85,2,2189900,1942000,
1962,101,2,2288200,2030500,
1963,92,2,2379700,2111300,
1964,106,0,2477500,2197100,
1965,95,4,2562600,2269800,
1966,109,1,2629200,2323200,
1967,1077,19,2715200,2362600,
1968,398,45,2806500,2407600,
1969,453,22,2884200,2469600,
1970,442,59,2974000,2543100,
1971,214,2,3069300,2620100,
1972,193,41,3172600,2704600,
1973,2609,23,3278100,2795600,
1974,382,64,3377400,2873600,
1975,275,33,3455300,2931200,
1976,222,10,3533000,2988300,
1977,317,9,3613000,3047200,
1978,287,55,3692600,3106900,
1979,228,25,3786400,3179500,
1980,223,10,3877700,3249400,
1981,201,12,3948100,3300000,
1982,645,6,4026700,3346600,
1983,279,19,4076200,3381000,
1984,243,8,4159100,3442100,
1985,228,30,4233000,3494500,
1986,175,11,4298800,3539300,
1987,213,14,4368900,3587100,
1988,249,15,4441600,3636000,
1989,208,36,4518200,3688100,
1990,211,33,4660200,3802800,
1991,195,103,4949100,4054300,
1992,220,29,5123500,4189800,
1993,232,45,5261400,4288700,
1994,238,65,5399300,4388000,
1995,242,30,5544900,4495100,
1996,239,58,5685100,4569200,
1997,292,41,5828900,4658800,
1998,199,15,5970700,4743400,
1999,158,9,6125300,4829000,
2000,206,28,6289200,4914100,
2001,211,182,6439000,4990200,
2002,335,307,6570000,5059600,
2003,243,156,6689700,5129800,
2004,197,87,6809000,5201500,
2005,173,48,6930100,5275700,
2006,281,73,7053700,5353600,
2007,113,16,7180100,5435800,
2008,135,32,7308800,5523700,
2009,135,9,7485600,5656300,
2010,169,13,7623600,5753300,
2011,124,23,7765800,5855200,
2012,109,19,7910500,5949000,
2013,110,6,8059500,6051400,
2014,178,33,8215500,6160700,
2015,102,27,8380100,6276800,
2016,104,18,8546000,6390300,
2017,130,13,8713300,6500300,
2018,110,14,8882800,6609400,
2019,93,9,9054000,6718800,
2020,80,3,9215100,6823500,
2021,89,17,9371400,6928300,
2022,97,33,9557500,7042000,
2023,565,912,9742438,7160306,לפני ה 7 לאוק’ היו 55 חיילים ו 34 אזרחים
2024,110,16,9930954,7280599,
