death_date,name,rank,unit,gender,age,from,story,pid,webpage,eng
2023-10-07,יהונתן אהרן שטיינברג,"אל""ם","חטיבת הנח""ל",M,42,קיבוץ שומריה,"מפקד חטיבת הנח""ל.",284.0,https://www.idf.il/נופלים/חללי-המלחמה/יהונתן-אהרן-שטיינברג/,Colonel Yehonatan Steinberg
2023-10-07,אמיר פישר,"רס""ל",חטיבת הקומנדו,M,22,תל אביב,לוחם ביחידת דובדבן.,225.0,https://www.idf.il/נופלים/חללי-המלחמה/יואב-מלייב/,Lieutenant Yoav Malayev
2023-10-07,עדי גרומן,סמל,חיל הגנת הגבולות,F,19,חגלה,"לוחמת איסוף קרבי בגדוד 414. הועלתה מדרגת רב""ט לדרגת סמל לאחר מותה.",474.0,https://www.idf.il/נופלים/חללי-המלחמה/אמיר-פישר/,Sergeant Major Amir Fisher
2023-10-07,אור יוסף רן,"רס""ן",חטיבת הקומנדו,M,29,איתמר,"מפקד צוות ביחידת דובדבן. הועלה מדרגת סרן לדרגת רס""ן לאחר מותו.",334.0,https://www.idf.il/נופלים/חללי-המלחמה/עדי-גרומן/,Sergeant Adi Groman
2023-10-07,חן בוכריס,"רס""ן",חטיבת הקומנדו,M,26,אשדוד,סגן מפקד יחידת מגלן.,218.0,https://www.idf.il/נופלים/חללי-המלחמה/אור-יוסף-רן/,Major Or Yossef Ran
2023-10-07,נתנאל יאנג,סמל,חטיבת גולני,M,20,תל אביב,"לוחם בגדוד 13 שבחטיבת גולני. הועלה מדרגת רב""ט לדרגת סמל לאחר מותו.",496.0,https://www.idf.il/נופלים/חללי-המלחמה/חן-בוכריס/,Major Chen Bouchris
2023-10-07,יואב מלייב,סגן,עוצבת סער מגולן (7),M,19,קרית אונו,"סגן קשר""ג בגדוד 77. הועלה מדרגת סג""ם לדרגת סגן לאחר מותו.",1267.0,https://www.idf.il/נופלים/חללי-המלחמה/נתנאל-יאנג/,Sergeant Nathanel Young
2023-10-07,עידו הרוש,"סמ""ר",עוצבת סער מגולן (7),M,21,מצפה רמון,לוחם שריון בגדוד 77 שבעוצבת 'סער מגולן' (7).,232.0,https://www.idf.il/נופלים/חללי-המלחמה/עידו-הרוש/,Staff Sergeant Ido Harush
2023-10-07,יפתח יעבץ,סרן,חטיבת הקומנדו,M,23,רמת השרון,קצין ביחידת מגלן. הועלה מדרגת סגן לדרגת סרן לאחר מותו.,248.0,https://www.idf.il/נופלים/חללי-המלחמה/יפתח-יעבץ/,Captain Yiftah Yavetz
2023-10-07,נעמה בוני,"רב""ט",עוצבת סער מגולן (7),F,19,עפולה,"מש""קית ת""ש בגדוד 77. הועלתה מדרגת טוראי לדרגת רב""ט לאחר מותה.",1264.0,https://www.idf.il/נופלים/חללי-המלחמה/נעמה-בוני/,Corporal Naama Bonny
2023-10-07,נריה אהרון נגרי,"רב""ט",חטיבת החילוץ וההדרכה,M,18,טלמון,"לוחם חילוץ והצלה בבא""ח העורף. הועלה מדרגת טוראי לדרגת רב""ט לאחר מותו.",210.0,https://www.idf.il/נופלים/חללי-המלחמה/נריה-אהרון-נגרי/,Corporal Neria Aaron Nagari
2023-10-07,גיא בזק,סמל,חטיבת גולני,M,19,כוכב יאיר,"לוחם בגדוד 51. הועלה מדרגת רב""ט לדרגת סמל לאחר מותו.",213.0,https://www.idf.il/נופלים/חללי-המלחמה/גיא-בזק/,Sergeant Guy Bazak
2023-10-07,יובל בן יעקב,"סמ""ר",עוצבת סער מגולן (7),M,21,כפר מנחם,לוחם שריון בגדוד 77 שבעוצבת 'סער מגולן' (7).,258.0,https://www.idf.il/נופלים/חללי-המלחמה/יובל-בן-יעקב/,Staff Sergeant Yoval Ben Yakov
2023-10-07,עדן אלון לוי,"סמ""ר",חטיבת החילוץ וההדרכה,F,19,נירית,"מ""כית בבא""ח העורף. הועלתה מדרגת סמל לדרגת סמ""ר לאחר מותה.",1262.0,https://www.idf.il/נופלים/חללי-המלחמה/עדן-אלון-לוי/,Staff sergeant Eden Alon Levy
2023-10-07,דביר לישה,סמל,חטיבת גולני,M,21,ניצן,"לוחם בגדוד 51. הועלה מדרגת רב""ט לדרגת סמל לאחר מותו.",237.0,https://www.idf.il/נופלים/חללי-המלחמה/דביר-לישה/,Sergeant Dvir Lisha
2023-10-07,עומרי ניב פיירשטיין,"סמ""ר",חטיבת החילוץ וההדרכה,M,20,גבעתיים,"לוחם חילוץ והצלה בבא""ח העורף.",1270.0,https://www.idf.il/נופלים/חללי-המלחמה/עומרי-ניב-פיירשטיין/,Staff sergeant Omri Niv Firshtein
2023-10-07,אור מוזס,סרן,חטיבת החילוץ וההדרכה,F,22,אשדוד,"ס' מ""פ בבא""ח העורף. הועלתה מדרגת סגן לדרגת סרן לאחר מותה.",1268.0,https://www.idf.il/נופלים/חללי-המלחמה/אור-מוזס/,Captain Or Moses
2023-10-07,ינאי קמינקא,סגן,חטיבת החילוץ וההדרכה,M,20,צור הדסה,"מפקד מחלקה בבא""ח העורף. הועלה מדרגת סג""ם לדרגת סגן לאחר מותו.",1265.0,https://www.idf.il/נופלים/חללי-המלחמה/ינאי-קמינקא/,Lieutenant Yannai Kaminka
2023-10-07,אפיק רוזנטל,"סמ""ר",חטיבת הקומנדו,M,20,כפר מנחם,"לוחם ביחידת מגל""ן. הועלה מדרגת סמל לדרגת סמ""ר לאחר מותו.",265.0,https://www.idf.il/נופלים/חללי-המלחמה/אפיק-רוזנטל/,Staff sergeant Afik Rosenthal
2023-10-07,סהר ציון מחלוף,"סא""ל",אוגדת עזה,M,36,מודיעין מכבים רעות,"מג""ד תקשוב 481.",238.0,https://www.idf.il/נופלים/חללי-המלחמה/סהר-ציון-מחלוף/,Lieutenant Colonel Sahar Zion Machlof
2023-10-07,אור אסתו,"סמ""ר",חטיבת גולני,M,21,באר שבע,"נגד לוגיסטיקה בגדוד 51. הועלה מדרגת סמל לדרגת סמ""ר לאחר מותו.",224.0,https://www.idf.il/נופלים/חללי-המלחמה/אור-אסתו/,Staff sergeant Or Esatu
2023-10-07,אדר בן סימון,סגן,חטיבת החילוץ וההדרכה,F,20,נווה זיו,"מפקדת מחלקה בבא""ח העורף. הועלתה מדרגת סג""ם לדרגת סגן לאחר מותה.",1263.0,https://www.idf.il/נופלים/חללי-המלחמה/אדר-בן-סימון/,Lieutenant Adar Ben Simon
2023-10-07,אופיר ציוני,"סמ""ר",חטיבת גולני,M,21,יקנעם עילית,"מ""כ בגדוד 51 שבחטיבת גולני. הועלה מדרגת סמל לדרגת סמ""ר לאחר מותו.",245.0,https://www.idf.il/נופלים/חללי-המלחמה/אופיר-ציוני/,Staff sergeant Ofir Zioni
