time,loc
07-Aug-2022 23:51:00,"צוחר, אוהד"
07-Aug-2022 23:51:00,"מבטחים, עמיעוז, ישע"
07-Aug-2022 23:38:00,"גבים, מכללת ספיר"
07-Aug-2022 23:38:00,"מטווח ניר עם"
07-Aug-2022 23:38:00,"שדרות, איבים, ניר עם"
07-Aug-2022 23:29:00,"בארי"
07-Aug-2022 23:23:00,"רעים"
07-Aug-2022 23:23:00,"כיסופים"
07-Aug-2022 23:22:00,"יד מרדכי"
07-Aug-2022 23:22:00,"תלמי יפה"
07-Aug-2022 23:22:00,"גיאה"
07-Aug-2022 23:22:00,"ארז"
07-Aug-2022 23:22:00,"נתיב העשרה"
07-Aug-2022 23:18:00,"כיסופים"
07-Aug-2022 23:14:00,"אתר דודאים"
07-Aug-2022 23:14:00,"באר שבע - צפון"
07-Aug-2022 23:13:00,"אתר דודאים"
07-Aug-2022 23:13:00,"באר שבע - מערב"
07-Aug-2022 23:13:00,"באר שבע - דרום"
07-Aug-2022 23:08:00,"יתד"
07-Aug-2022 23:08:00,"שדה אברהם"
07-Aug-2022 23:08:00,"ניר יצחק"
07-Aug-2022 23:08:00,"חולית"
07-Aug-2022 23:07:00,"פרי גן"
07-Aug-2022 23:07:00,"סופה"
07-Aug-2022 23:03:00,"ניר עוז"
07-Aug-2022 23:02:00,"נתיבות"
07-Aug-2022 23:01:00,"עלומים"
07-Aug-2022 23:01:00,"נחל עוז"
07-Aug-2022 23:01:00,"כפר מימון ותושיה"
07-Aug-2022 23:01:00,"מגן"
07-Aug-2022 23:01:00,"נירים"
07-Aug-2022 23:01:00,"ניר עוז"
07-Aug-2022 22:58:00,"נחל עוז"
07-Aug-2022 22:53:00,"זמרת, שובה"
07-Aug-2022 22:53:00,"תקומה"
07-Aug-2022 22:53:00,"תקומה וחוות יזרעם"
07-Aug-2022 22:53:00,"נחל עוז"
07-Aug-2022 22:53:00,"עלומים"
07-Aug-2022 22:53:00,"סעד"
07-Aug-2022 22:53:00,"נתיבות"
07-Aug-2022 22:31:00,"עין השלושה"
07-Aug-2022 22:31:00,"נירים"
07-Aug-2022 22:24:00,"עין השלושה"
07-Aug-2022 22:08:00,"כרם שלום"
07-Aug-2022 21:38:00,"נירים"
07-Aug-2022 21:38:00,"עין השלושה"
07-Aug-2022 21:13:00,"עין השלושה"
07-Aug-2022 21:13:00,"כיסופים"
07-Aug-2022 21:07:00,"עין הבשור"
07-Aug-2022 21:07:00,"מגן"
07-Aug-2022 21:07:00,"ניר עוז"
07-Aug-2022 21:00:00,"ניר עוז"
07-Aug-2022 21:00:00,"נירים"
07-Aug-2022 21:00:00,"עין השלושה"
07-Aug-2022 20:30:00,"עין השלושה"
07-Aug-2022 20:30:00,"נירים"
07-Aug-2022 20:06:00,"כיסופים"
07-Aug-2022 20:06:00,"עין השלושה"
07-Aug-2022 20:06:00,"נירים"
07-Aug-2022 20:04:00,"זיקים"
07-Aug-2022 20:03:00,"אזור תעשייה הדרומי אשקלון"
07-Aug-2022 20:03:00,"אשקלון - דרום"
07-Aug-2022 20:03:00,"נתיב העשרה"
07-Aug-2022 20:03:00,"כרמיה"
07-Aug-2022 19:56:00,"עלומים"
07-Aug-2022 19:56:00,"נחל עוז"
07-Aug-2022 19:56:00,"זמרת, שובה"
07-Aug-2022 19:56:00,"סעד"
07-Aug-2022 19:56:00,"כפר עזה"
07-Aug-2022 19:43:00,"שדרות, איבים, ניר עם"
07-Aug-2022 19:42:00,"נחל עוז"
07-Aug-2022 19:42:00,"עין השלושה"
07-Aug-2022 19:42:00,"נירים"
07-Aug-2022 19:41:00,"כיסופים"
07-Aug-2022 19:40:00,"נירים"
07-Aug-2022 19:40:00,"תקומה"
07-Aug-2022 19:40:00,"תקומה וחוות יזרעם"
07-Aug-2022 19:40:00,"שוקדה"
07-Aug-2022 19:40:00,"סעד"
07-Aug-2022 19:40:00,"ראשון לציון - מערב"
07-Aug-2022 19:40:00,"רמלה"
07-Aug-2022 19:40:00,"ראשון לציון - מזרח"
07-Aug-2022 19:40:00,"נצר סרני"
07-Aug-2022 19:40:00,"נתיבות"
07-Aug-2022 19:40:00,"כפר מימון ותושיה"
07-Aug-2022 19:40:00,"זמרת, שובה"
07-Aug-2022 19:40:00,"עלומים"
07-Aug-2022 19:39:00,"תעשיון צריפין"
07-Aug-2022 19:39:00,"ניר צבי"
07-Aug-2022 19:39:00,"באר יעקב"
07-Aug-2022 19:39:00,"חולון"
07-Aug-2022 19:39:00,"בת-ים"
07-Aug-2022 19:39:00,"תל אביב - מרכז העיר"
07-Aug-2022 19:39:00,"תל אביב - דרום העיר ויפו"
07-Aug-2022 19:39:00,"יגל"
07-Aug-2022 19:39:00,"זיתן"
07-Aug-2022 19:39:00,"אחיעזר"
07-Aug-2022 19:39:00,"לוד"
07-Aug-2022 19:36:00,"שדרות, איבים, ניר עם"
07-Aug-2022 19:35:00,"מטווח ניר עם"
07-Aug-2022 19:35:00,"מפלסים"
07-Aug-2022 19:35:00,"כפר עזה"
07-Aug-2022 19:35:00,"שדרות, איבים, ניר עם"
07-Aug-2022 19:35:00,"גבים, מכללת ספיר"
07-Aug-2022 19:34:00,"זיקים"
07-Aug-2022 19:34:00,"נתיב העשרה"
07-Aug-2022 19:34:00,"כרמיה"
07-Aug-2022 19:34:00,"יד מרדכי"
07-Aug-2022 19:34:00,"אשקלון - דרום"
07-Aug-2022 19:34:00,"מבקיעים"
07-Aug-2022 19:34:00,"אזור תעשייה הדרומי אשקלון"
07-Aug-2022 19:31:00,"סופה"
07-Aug-2022 19:31:00,"חולית"
07-Aug-2022 19:31:00,"ניר יצחק"
07-Aug-2022 19:26:00,"תלמי אליהו"
07-Aug-2022 19:26:00,"שדה ניצן"
07-Aug-2022 19:26:00,"צוחר, אוהד"
07-Aug-2022 19:26:00,"מבטחים, עמיעוז, ישע"
07-Aug-2022 19:23:00,"זיקים"
07-Aug-2022 19:23:00,"כרמיה"
07-Aug-2022 19:22:00,"זיקים"
07-Aug-2022 19:22:00,"נתיב העשרה"
07-Aug-2022 19:22:00,"כרמיה"
07-Aug-2022 19:22:00,"יד מרדכי"
07-Aug-2022 19:22:00,"אזור תעשייה צפוני אשקלון"
07-Aug-2022 19:22:00,"מבקיעים"
07-Aug-2022 19:22:00,"אזור תעשייה הדרומי אשקלון"
07-Aug-2022 19:22:00,"אשקלון - דרום"
07-Aug-2022 19:17:00,"נתיב העשרה"
07-Aug-2022 19:17:00,"יד מרדכי"
07-Aug-2022 19:16:00,"כרם שלום"
07-Aug-2022 19:07:00,"כרם שלום"
07-Aug-2022 19:06:00,"מטווח ניר עם"
07-Aug-2022 19:06:00,"שדרות, איבים, ניר עם"
07-Aug-2022 19:06:00,"מפלסים"
07-Aug-2022 19:05:00,"נתיב העשרה"
07-Aug-2022 19:05:00,"כרמיה"
07-Aug-2022 19:05:00,"זיקים"
07-Aug-2022 19:04:00,"אזור תעשייה הדרומי אשקלון"
07-Aug-2022 19:03:00,"ניר יצחק"
07-Aug-2022 19:03:00,"חולית"
07-Aug-2022 19:03:00,"סופה"
07-Aug-2022 19:02:00,"נווה"
07-Aug-2022 19:02:00,"יתד"
07-Aug-2022 19:02:00,"יבול"
07-Aug-2022 19:02:00,"אבשלום"
07-Aug-2022 19:02:00,"תלמי יוסף"
07-Aug-2022 19:02:00,"דקל"
07-Aug-2022 19:01:00,"חולית"
07-Aug-2022 19:01:00,"שדה אברהם"
07-Aug-2022 19:01:00,"פרי גן"
07-Aug-2022 19:01:00,"סופה"
07-Aug-2022 19:01:00,"ניר יצחק"
07-Aug-2022 19:01:00,"מפלסים"
07-Aug-2022 19:01:00,"כרם שלום"
07-Aug-2022 18:59:00,"אשקלון - צפון"
07-Aug-2022 18:59:00,"כרם שלום"
07-Aug-2022 18:59:00,"זיקים"
07-Aug-2022 18:59:00,"אזור תעשייה הדרומי אשקלון"
07-Aug-2022 18:59:00,"אשקלון - דרום"
07-Aug-2022 18:59:00,"שדרות, איבים, ניר עם"
07-Aug-2022 18:59:00,"גבים, מכללת ספיר"
07-Aug-2022 18:58:00,"כרם שלום"
07-Aug-2022 18:50:00,"עלומים"
07-Aug-2022 18:49:00,"נחל עוז"
07-Aug-2022 18:38:00,"מטווח ניר עם"
07-Aug-2022 18:38:00,"מפלסים"
07-Aug-2022 18:38:00,"שדרות, איבים, ניר עם"
07-Aug-2022 18:38:00,"סעד"
07-Aug-2022 18:38:00,"כפר עזה"
07-Aug-2022 18:38:00,"עלומים"
07-Aug-2022 18:38:00,"זמרת, שובה"
07-Aug-2022 18:38:00,"נחל עוז"
07-Aug-2022 18:30:00,"מבטחים, עמיעוז, ישע"
07-Aug-2022 18:16:00,"זיקים"
07-Aug-2022 18:16:00,"אזור תעשייה הדרומי אשקלון"
07-Aug-2022 18:14:00,"נחל עוז"
07-Aug-2022 18:13:00,"כרמיה"
07-Aug-2022 18:13:00,"אזור תעשייה הדרומי אשקלון"
07-Aug-2022 18:13:00,"זיקים"
07-Aug-2022 18:09:00,"עלומים"
07-Aug-2022 18:09:00,"נחל עוז"
07-Aug-2022 18:09:00,"זמרת, שובה"
07-Aug-2022 18:09:00,"סעד"
07-Aug-2022 18:09:00,"כפר עזה"
07-Aug-2022 18:05:00,"כפר עזה"
07-Aug-2022 17:59:00,"נחל עוז"
07-Aug-2022 17:55:00,"דקל"
07-Aug-2022 17:55:00,"חולית"
07-Aug-2022 17:55:00,"שדה אברהם"
07-Aug-2022 17:55:00,"יתד"
07-Aug-2022 17:48:00,"סעד"
07-Aug-2022 17:28:00,"נתיב העשרה"
07-Aug-2022 17:28:00,"ארז"
07-Aug-2022 17:28:00,"שדרות, איבים, ניר עם"
07-Aug-2022 17:06:00,"נחל עוז"
07-Aug-2022 17:05:00,"גיאה"
07-Aug-2022 17:05:00,"אזור תעשייה צפוני אשקלון"
07-Aug-2022 17:05:00,"בית שקמה"
07-Aug-2022 17:05:00,"בת הדר"
07-Aug-2022 17:05:00,"יד מרדכי"
07-Aug-2022 17:05:00,"מבקיעים"
07-Aug-2022 17:04:00,"נתיב העשרה"
07-Aug-2022 17:04:00,"כרמיה"
07-Aug-2022 17:04:00,"זיקים"
07-Aug-2022 17:04:00,"אזור תעשייה הדרומי אשקלון"
07-Aug-2022 17:04:00,"אשקלון - דרום"
07-Aug-2022 16:53:00,"מפלסים"
07-Aug-2022 16:53:00,"שדרות, איבים, ניר עם"
07-Aug-2022 16:53:00,"מטווח ניר עם"
07-Aug-2022 16:44:00,"רעים"
07-Aug-2022 16:27:00,"נחל עוז"
07-Aug-2022 16:16:00,"נתיב העשרה"
07-Aug-2022 16:16:00,"כרמיה"
07-Aug-2022 16:03:00,"כפר עזה"
07-Aug-2022 16:03:00,"נחל עוז"
07-Aug-2022 15:53:00,"שוקדה"
07-Aug-2022 15:53:00,"זמרת, שובה"
07-Aug-2022 15:53:00,"עלומים"
07-Aug-2022 15:53:00,"כפר מימון ותושיה"
07-Aug-2022 15:48:00,"תלמי אליהו"
07-Aug-2022 15:48:00,"שדה ניצן"
07-Aug-2022 15:48:00,"צוחר, אוהד"
07-Aug-2022 15:48:00,"מבטחים, עמיעוז, ישע"
07-Aug-2022 15:44:00,"אזור תעשייה הדרומי אשקלון"
07-Aug-2022 15:43:00,"משען"
07-Aug-2022 15:43:00,"הודיה"
07-Aug-2022 15:43:00,"ברכיה"
07-Aug-2022 15:43:00,"גיאה"
07-Aug-2022 15:43:00,"בית שקמה"
07-Aug-2022 15:43:00,"ניר ישראל"
07-Aug-2022 15:43:00,"יד מרדכי"
07-Aug-2022 15:43:00,"מבקיעים"
07-Aug-2022 15:43:00,"נתיב העשרה"
07-Aug-2022 15:41:00,"נירים"
07-Aug-2022 15:23:00,"אשדוד -יא,יב,טו,יז,מרינה,סיט"
07-Aug-2022 15:23:00,"אשדוד - א,ב,ד,ה"
07-Aug-2022 15:21:00,"כיסופים"
07-Aug-2022 15:19:00,"כפר אביב"
07-Aug-2022 15:19:00,"בן זכאי"
07-Aug-2022 15:19:00,"ניר ישראל"
07-Aug-2022 15:19:00,"כפר סילבר"
07-Aug-2022 15:19:00,"בת הדר"
07-Aug-2022 15:19:00,"ברכיה"
07-Aug-2022 15:19:00,"באר גנים"
07-Aug-2022 15:19:00,"אשקלון - צפון"
07-Aug-2022 15:19:00,"אשקלון - דרום"
07-Aug-2022 15:19:00,"אזור תעשייה צפוני אשקלון"
07-Aug-2022 15:18:00,"גאליה"
07-Aug-2022 15:18:00,"כפר הנגיד"
07-Aug-2022 15:18:00,"יבנה"
07-Aug-2022 15:18:00,"אשדוד - איזור תעשייה צפוני"
07-Aug-2022 15:18:00,"עיינות"
07-Aug-2022 15:18:00,"נס ציונה"
07-Aug-2022 15:18:00,"נטעים"
07-Aug-2022 15:18:00,"בית עובד"
07-Aug-2022 15:18:00,"בית חנן"
07-Aug-2022 15:18:00,"אירוס"
07-Aug-2022 15:18:00,"ראשון לציון - מזרח"
07-Aug-2022 15:18:00,"כפר עזה"
07-Aug-2022 15:17:00,"יבול"
07-Aug-2022 15:17:00,"אבשלום"
07-Aug-2022 15:17:00,"יתד"
07-Aug-2022 15:17:00,"דקל"
07-Aug-2022 15:17:00,"שדה אברהם"
07-Aug-2022 15:17:00,"ניר עוז"
07-Aug-2022 15:17:00,"חולית"
07-Aug-2022 15:17:00,"סעד"
07-Aug-2022 15:17:00,"זמרת, שובה"
07-Aug-2022 15:17:00,"פלמחים"
07-Aug-2022 15:16:00,"נירים"
07-Aug-2022 15:16:00,"ניר עוז"
07-Aug-2022 15:16:00,"שדה אברהם"
07-Aug-2022 15:16:00,"פרי גן"
07-Aug-2022 15:16:00,"תלמי יוסף"
07-Aug-2022 15:16:00,"דקל"
07-Aug-2022 15:16:00,"שרשרת"
07-Aug-2022 15:16:00,"שיבולים"
07-Aug-2022 15:16:00,"מעגלים, גבעולים, מלילות"
07-Aug-2022 15:16:00,"תלמי אליהו"
07-Aug-2022 15:16:00,"שדה ניצן"
07-Aug-2022 15:16:00,"צוחר, אוהד"
07-Aug-2022 15:16:00,"מבטחים, עמיעוז, ישע"
07-Aug-2022 15:16:00,"בארי"
07-Aug-2022 15:16:00,"באר שבע - מערב"
07-Aug-2022 15:16:00,"באר שבע - דרום"
07-Aug-2022 15:16:00,"תדהר"
07-Aug-2022 15:16:00,"ברוש"
07-Aug-2022 15:15:00,"חצרים"
07-Aug-2022 15:15:00,"בטחה"
07-Aug-2022 15:15:00,"כפר מימון ותושיה"
07-Aug-2022 15:15:00,"עלומים"
07-Aug-2022 15:15:00,"ניר יצחק"
07-Aug-2022 15:15:00,"סופה"
07-Aug-2022 15:15:00,"חולית"
07-Aug-2022 15:15:00,"זמרת, שובה"
07-Aug-2022 15:15:00,"שוקדה"
07-Aug-2022 15:14:00,"מעגלים, גבעולים, מלילות"
07-Aug-2022 15:14:00,"בית הגדי"
07-Aug-2022 15:14:00,"תקומה"
07-Aug-2022 15:14:00,"תקומה וחוות יזרעם"
07-Aug-2022 15:14:00,"כפר מימון ותושיה"
07-Aug-2022 15:14:00,"זמרת, שובה"
07-Aug-2022 15:14:00,"נתיבות"
07-Aug-2022 14:46:00,"כיסופים"
07-Aug-2022 14:43:00,"יד מרדכי"
07-Aug-2022 14:40:00,"אשקלון - צפון"
07-Aug-2022 14:11:00,"נחל עוז"
07-Aug-2022 14:08:00,"נחל עוז"
07-Aug-2022 14:04:00,"נחל עוז"
07-Aug-2022 14:03:00,"נתיב העשרה"
07-Aug-2022 14:02:00,"נתיב העשרה"
07-Aug-2022 14:00:00,"נחל עוז"
07-Aug-2022 13:46:00,"אבשלום"
07-Aug-2022 13:32:00,"יד מרדכי"
07-Aug-2022 13:32:00,"נתיב העשרה"
07-Aug-2022 13:32:00,"כרמיה"
07-Aug-2022 13:32:00,"מבקיעים"
07-Aug-2022 13:32:00,"אזור תעשייה הדרומי אשקלון"
07-Aug-2022 13:32:00,"בת הדר"
07-Aug-2022 13:32:00,"אשקלון - דרום"
07-Aug-2022 13:23:00,"מטווח ניר עם"
07-Aug-2022 13:23:00,"ארז"
07-Aug-2022 13:23:00,"מפלסים"
07-Aug-2022 13:23:00,"שדרות, איבים, ניר עם"
07-Aug-2022 13:22:00,"פרי גן"
07-Aug-2022 13:22:00,"ניר יצחק"
07-Aug-2022 13:21:00,"סופה"
07-Aug-2022 13:06:00,"כפר מימון ותושיה"
07-Aug-2022 12:57:00,"זיקים"
07-Aug-2022 12:57:00,"אשקלון - צפון"
07-Aug-2022 12:57:00,"מבקיעים"
07-Aug-2022 12:57:00,"אזור תעשייה הדרומי אשקלון"
07-Aug-2022 12:57:00,"אשקלון - דרום"
07-Aug-2022 12:57:00,"כרמיה"
