loc,X,Y,N
שדרות,34.5977458834956,31.5259030322262,2
אשקלון,34.5704978517792,31.666683704746,2
נחל עוז,34.4976874735942,31.4723673101198,0
ניר עם,34.5856663435354,31.518278844234,1
נתיב העשרה,34.5410312353706,31.5674760945571,0
זיקים,34.5217330622824,31.6083912674299,1
כרמייה,34.5421649127248,31.6041741399276,1
גבים,34.5983280083987,31.5070716799497,1
עלומים,34.5133533689666,31.4517749498002,0
מפלסים,34.5631319784657,31.5007795408582,1
ניר עוז,34.4019872621404,31.3123396071696,1
נירים,34.3961369639535,31.33458787733,0
כיסופים,34.400233345567,31.37448865346,0
עין השלושה,34.4014865669292,31.3515144370782,0
זמרת,34.5526619939539,31.4482081588094,0
כרם שלום,34.2844932172943,31.2278180705192,0
יד מרדכי,34.5580126631982,31.5882871710773,0
ארז,34.5667522205345,31.5600426959622,0
מבקיעים,34.5742933914988,31.6213725985908,0
כפר עזה,34.5329801141481,31.4830447710776,2
כפר מימון,34.5446052196157,31.4258942999881,0
חולית,34.3256238312669,31.2302878300587,0
סעד,34.5353164623017,31.4704081407144,0
אשדוד,34.6474810846448,31.7942589503104,0
סופה,34.3422119778771,31.2371732529403,0
נתיבות,34.5883221528104,31.4215145692611,0
בית שקמה,34.6085365256113,31.6379448810636,0
בארי,34.4914586907824,31.4242516630585,1
ניר יצחק,34.3575530119167,31.2371730523064,0
מבטחים,34.4084941626923,31.2399731723032,0
אור הנר,34.601782535665,31.5564399231478,1
ראשון לציון,34.7876397026137,31.9721444546851,0
שוקדה,34.5243591124231,31.4225943489669,0
גיאה,34.6035053857416,31.6279954788273,0
יתד,34.3268236110405,31.2068743283097,0
שדי אברהם,34.3363648979198,31.2122236079692,0
דקל,34.3477491564614,31.1948076054199,0
רעים,34.4604281661173,31.3855708715185,0
פרי גן,34.3558643044746,31.2216243468418,0
מגן,34.4290808669947,31.2982796081947,1
ניר ישראל,34.6361095939058,31.6874698393653,0
שדה ניצן,34.4195114459896,31.2300521601144,0
תלמי יפה,34.6173638979894,31.6157546202501,0
יבנה,34.736532899412,31.8792010954555,0
מעגלים,34.5986877295265,31.3967490138292,0
בת-ים,34.7490139949503,32.0140490202682,0
ברכיה,34.6257481333826,31.6696912952738,0
יבול,34.319605871723,31.1891608838456,0
תלמי אליהו,34.4293480065389,31.2282932992525,0
עין הבשור,34.449364726552,31.2814437109395,1
תקומה,34.5804169902279,31.4514863783502,0
באר שבע,34.7864086217959,31.2566891499039,0
גן יבנה,34.7096981376121,31.7902028408446,0
גן הדרום,34.7008926892783,31.8041138279133,0
קבוצת יבנה,34.7197716945866,31.8148576368156,0
שדה עוזיהו,34.6764924209784,31.7574842859859,0
ניצנים,34.6355454164795,31.7153822354376,0
בני דרום,34.6926501952308,31.8204591590003,0
כפר אביב,34.7210191315354,31.8309826735415,0
בן זכאי,34.7289138761664,31.8562763715819,0
פלמחים,34.7073380630971,31.9319514174131,0
נטעים,34.7727701668468,31.9416257688218,0
בית חנן,34.7726837719821,31.9342947971899,0
בית עובד,34.7699205335148,31.9238110631908,0
בית הגדי,34.6067829295251,31.4247814643576,0
תל אביב,34.7773256565267,32.079111742506,0
חולון,34.7833441053023,32.0106506218226,0
משען,34.6240053817388,31.6572699966761,0
הודייה,34.6416402474564,31.6755598145155,0
תלמי יוסף,34.3611190161583,31.1999365961183,0
לוזית,34.8867412008268,31.6868100985205,0
בית מאיר,35.0368153561291,31.7941988463885,0
מחסיה,35.007173141114,31.7478115568747,0
שואבה,35.0779804955811,31.7981130655785,0
שורש,35.0658803160391,31.7964549195798,0
יד השמונה,35.0910341982172,31.8075893945425,0
נווה אילן,35.0813114789491,31.8078567353952,0
שתולים,34.6839115126012,31.7736958158061,0
עזריקם,34.6972467018978,31.7512827059777,0
ביצרון,34.7302265429624,31.7956417051516,0
בית חשמונאי,34.9171890055805,31.889182753302,0
גזר,34.9161966706597,31.8757742730513,0
כפר שמואל,34.9323584315177,31.889986192899,0
מודיעין-מכבים-רעות,35.0138541180938,31.898644349582,0
עזריה,34.9102079088112,31.8893595398899,0
בית עוזיאל,34.9029306186302,31.8711841407628,0
גברעם,34.6129152708772,31.5918907496958,0
כוכב מיכאל,34.6687631234396,31.629453330672,0
שדה יואב,34.6814621569258,31.6432370112415,0
אזור,34.8079361878303,32.0228263959495,0
חלץ,34.6578787388127,31.5781106540852,0
ניצן,34.6296536745957,31.7401904054855,0
בית עזרא,34.6554898041993,31.7366123919987,0
אמונים,34.6759206692315,31.7434643661154,0
עזר,34.6708174461075,31.7368524625079,0
גבעתי,34.6798389006645,31.7326082075865,0
אבו-גוש,35.1101732080424,31.8059875474468,0
הר אדר,35.1294735771613,31.8267821469408,0
כסלון,35.0494240160694,31.7737434814002,0
מעלה החמישה,35.1116783921925,31.817611767228,0
קריית יערים,35.0992861709854,31.8032353691539,0
קריית ענבים,35.1196777834943,31.8110403064813,0
רמת רזיאל,35.0731639232652,31.7739262816206,0
דורות,34.6460483883807,31.5058905284427,0
אשבול,34.6671186434568,31.4460590817212,0
מבועים,34.6540589963388,31.4492116410543,0
חצרים,34.7068050443686,31.2392065608708,0
כפר הנגיד,34.7490192212923,31.886983782147,0
נס ציונה,34.8022320180219,31.9294278705267,0
גאליה,34.766183398679,31.8848072698645,0
בטחה,34.6320996531001,31.3344101533115,0
עיינות,34.7683391479435,31.9171445017949,0
שרשרת,34.6036486405306,31.4043337373157,0
שיבולים,34.6076231257121,31.3963750074035,0
ברוש,34.6318474112431,31.3705649108042,0
תדהר,34.6270535982662,31.3782888005781,0
באר יעקב,34.8406603433987,31.9439557857411,0
אחיעזר,34.8717744578061,31.9812090416225,0
יגל,34.8790958887335,31.9883071626564,0
לוד,34.8878905419058,31.9510159491642,0
ניר צבי,34.8630417143898,31.9527789082488,0
רמלה,34.8695625602016,31.9305909400411,0
זיתן,34.8901914762076,31.9756764251196,0
נצר סרני,34.824653105198,31.9230524189409,0
אלעזר,35.14115378791,31.6614927256079,0
בית חורון,35.1285213507898,31.8767773828285,0
אחוזם,34.7703682048354,31.5539690843566,0
ניר גלים,34.6798700204974,31.8227365567108,0
לקיה,34.8647645011837,31.3238443713039,0
תל שבע,34.8601763883537,31.248049262195,0
חצור,34.720435353603,31.7721414661648,0
באר טוביה,34.7198761417611,31.7319255456706,0
אופקים,34.621615510895,31.3109206059485,0
עומר,34.8459143424507,31.2685099917549,0
רמת גן,34.8278125943047,32.0679864461212,0
משגב דב,34.7394529241808,31.8203888318118,0
שגב-שלום,34.8390825301889,31.1976411504616,0
נווה מבטח,34.740462791802,31.8054694726399,0
שדמה,34.7417751494645,31.8322965152278,0
משמר השבעה,34.8243087730242,32.0096256887819,0
דימונה,35.0274193387046,31.0672437063232,0
בית דגן,34.8300186277671,31.9998042837246,0
רחובות,34.8098187056299,31.8958574209932,0
בניה,34.7521928252854,31.8428613730924,0
אור יהודה,34.8558095991058,32.0273928411141,0
גבעתיים,34.8104260937044,32.0702937421117,0
קריית אונו,34.8586530484184,32.0587995699251,0
בית גמליאל,34.761322608684,31.8572782117264,0
כפר מרדכי,34.755269808934,31.8313302918222,0
עשרת,34.7472840915756,31.8246073175886,0
גילת,34.6534389662977,31.3269313649727,0
גנות,34.8284944847478,32.0178575218523,0
פתח תקווה,34.8834021188359,32.0877456175324,0
בני ברק,34.8352524728924,32.0870717965726,0
גבעת שמואל,34.8531216070731,32.0772067364573,0
חמד,34.8388924331897,32.0193328172804,0
מישר,34.7540129790608,31.8184635231829,0
מסלול,34.588854012338,31.3233941426732,0
גדרה,34.7795009103103,31.8111733047572,0
גני תקווה,34.874408224472,32.0612517098483,0
