time,loc,locOrig
17-May-2021 19:25:00,"חולית","חולית"
17-May-2021 19:25:00,"יתד","יתד"
17-May-2021 19:25:00,"יבול","יבול"
17-May-2021 19:25:00,"יתד","אבשלום"
17-May-2021 19:25:00,"שדי אברהם","שדה אברהם"
17-May-2021 19:25:00,"כרם שלום","כרם שלום"
17-May-2021 19:22:00,"ארז","ארז"
17-May-2021 19:21:00,"שדרות","שדרות, איבים"
17-May-2021 19:21:00,"ניר עם","ניר עם"
17-May-2021 19:21:00,"כפר עזה","כפר עזה"
17-May-2021 19:21:00,"ניר עם","מטווח ניר עם"
17-May-2021 19:21:00,"מפלסים","מפלסים"
17-May-2021 19:11:00,"ניר עם","מטווח ניר עם"
17-May-2021 19:11:00,"גבים","גבים, מכללת ספיר"
17-May-2021 19:11:00,"שדרות","שדרות, איבים"
17-May-2021 19:11:00,"מפלסים","מפלסים"
17-May-2021 19:11:00,"ניר עם","ניר עם"
17-May-2021 19:02:00,"כרם שלום","כרם שלום"
17-May-2021 19:00:00,"אשדוד","אשדוד - יא,יב,טו,יז,מרינה"
17-May-2021 19:00:00,"סעד","סעד"
17-May-2021 19:00:00,"אשקלון","אזור תעשייה הדרומי אשקלון"
17-May-2021 19:00:00,"זיקים","זיקים"
17-May-2021 19:00:00,"כרמייה","כרמיה"
17-May-2021 19:00:00,"אשקלון","אשקלון"
17-May-2021 19:00:00,"נחל עוז","נחל עוז"
17-May-2021 19:00:00,"כרם שלום","כרם שלום"
17-May-2021 18:58:00,"שדה ניצן","שדה ניצן"
17-May-2021 18:58:00,"צוחר ואוהד","צוחר ואוהד"
17-May-2021 18:58:00,"מבטחים","מבטחים עמיעוז ישע"
17-May-2021 18:53:00,"תקומה","תקומה וחוות יזרעם"
17-May-2021 18:53:00,"תקומה","תקומה"
17-May-2021 18:53:00,"סעד","סעד"
17-May-2021 18:53:00,"עלומים","עלומים"
17-May-2021 18:53:00,"כפר מימון ותושיה","כפר מימון ותושיה"
17-May-2021 18:53:00,"זמרת ושובה","זמרת ושובה"
17-May-2021 18:52:00,"שוקדה","שוקדה"
17-May-2021 18:52:00,"נתיבות","נתיבות"
17-May-2021 18:52:00,"בית שקמה","בת הדר"
17-May-2021 18:52:00,"משען","משען"
17-May-2021 18:52:00,"כפר סילבר","כפר סילבר"
17-May-2021 18:52:00,"ברכיה","ברכיה"
17-May-2021 18:52:00,"בארי","בארי"
17-May-2021 18:52:00,"אשקלון","אזור תעשייה צפוני אשקלון"
17-May-2021 18:52:00,"אשקלון","אשקלון"
17-May-2021 18:52:00,"באר גנים","באר גנים"
17-May-2021 18:48:00,"רעים","רעים"
17-May-2021 18:47:00,"כיסופים","כיסופים"
17-May-2021 18:37:00,"עלומים","עלומים"
17-May-2021 18:37:00,"נחל עוז","נחל עוז"
17-May-2021 18:21:00,"נתיב העשרה","נתיב העשרה"
17-May-2021 17:53:00,"סעד","סעד"
17-May-2021 17:47:00,"חצרים","חצרים"
17-May-2021 17:47:00,"ניצן","ניצן"
17-May-2021 17:47:00,"עזר","עזר"
17-May-2021 17:47:00,"ניצנים","ניצנים"
17-May-2021 17:47:00,"אמונים","אמונים"
17-May-2021 17:47:00,"בית עזרא","בית עזרא"
17-May-2021 17:46:00,"אשדוד","אשדוד - אזור תעשייה צפוני ונ"
17-May-2021 17:46:00,"אשדוד","אשדוד - ג,ו,ז"
17-May-2021 17:46:00,"באר שבע","באר שבע - מזרח"
17-May-2021 17:46:00,"כיסופים","כיסופים"
17-May-2021 17:46:00,"ניר עוז","ניר עוז"
17-May-2021 17:46:00,"עין השלושה","עין השלושה"
17-May-2021 17:46:00,"נירים","נירים"
17-May-2021 17:46:00,"באר שבע","באר שבע - מערב"
17-May-2021 17:46:00,"באר שבע","באר שבע - דרום"
17-May-2021 17:46:00,"אשדוד","אשדוד - א,ב,ד,ה"
