date,comment,operation
2019-05-02,airforce,
2019-05-03,airforce,
2019-05-04,airforce,
2019-05-05,Targeted killing,
2019-06-13,airforce,
2019-06-14,,
2019-08-17,airforce,
2019-08-25,,
2019-08-28,airforce,
2019-09-06,airforce,
2019-09-07,airforce,
2019-09-10,airforce,
2019-09-11,airforce,
2019-10-29,airforce,
2019-11-01,,
2019-11-12,Targeted killing,חגורה שחורה
2019-11-13,airforce,חגורה שחורה
2019-11-14,,חגורה שחורה
2019-11-16,airforce,חגורה שחורה
2019-11-27,airforce,
2019-11-29,airforce,
2019-12-07,,
2019-12-17,airforce,
2019-12-19,airforce,
2020-01-15,airforce,
2020-01-16,airforce,
2020-01-25,airforce,
2020-01-29,airforce,
2020-01-30,airforce,
2020-01-31,,
2020-02-01,airforce,
2020-02-05,airforce,
2020-02-09,airforce,
2020-02-15,airforce,
2020-02-24,,
2020-03-27,,
2020-05-06,,
2020-06-15,airforce,
2020-06-26,airforce,
2020-07-05,airforce,
2020-08-02,airforce,
2020-08-06,airforce,
2020-08-09,airforce,
2020-08-11,airforce,
2020-08-12,airforce,
2020-08-13,airforce,
2020-08-14,airforce,
2020-08-15,airforce,
2020-08-16,airforce,
2020-08-17,airforce,
2020-08-18,airforce,
2020-08-19,airforce,
2020-08-20,airforce,
2020-08-21,airforce,
2020-08-22,airforce,
2020-08-24,airforce,
2020-08-25,airforce,
2020-08-26,airforce,
2020-08-28,airforce,
2020-08-30,,
2020-09-16,airforce,
2020-10-05,,
2020-10-20,,
2020-10-22,airforce,
2020-11-15,airforce,
2020-11-21,airforce,
2020-12-25,airforce,
2021-01-13,,
2021-01-18,airforce,
2021-01-19,,
2021-03-23,airforce,
2021-04-15,airforce,
2021-04-16,airforce,
2021-04-24,airforce,
2021-05-09,airforce,
2021-05-10,airforce,שומר חומות
2021-05-11,airforce,שומר חומות
2021-05-12,airforce,שומר חומות
2021-05-13,airforce,שומר חומות
2021-05-14,airforce,שומר חומות
2021-05-15,airforce,שומר חומות
2021-05-16,airforce,שומר חומות
2021-05-17,airforce,שומר חומות
2021-05-18,airforce,שומר חומות
2021-05-19,airforce,שומר חומות
2021-05-20,airforce,שומר חומות
2021-05-21,airforce,שומר חומות
2021-07-21,airforce,
2021-08-07,airforce,
2021-08-22,airforce,
2021-09-13,airforce,
2022-04-19,airforce,
2022-04-21,airforce,
2022-08-05,Targeted killing,עלות השחר
2022-08-06,Targeted killing,עלות השחר
2022-08-07,airforce,עלות השחר
