alarm_time,cities
3 דקות,יהל
3 דקות,שיטים
דקה וחצי,גרופית
דקה וחצי,חי-בר יטבתה
דקה וחצי,לוטן
דקה וחצי,נווה חריף
דקה וחצי,קטורה
דקה וחצי,נאות סמדר
דקה וחצי,יטבתה
דקה וחצי,שחרות
30 שניות,אילת
30 שניות,אבו סנאן
דקה וחצי,אבו קרינאת
דקה וחצי,אבו קרינאת והפזורה
דקה וחצי,אבו תלול
דקה וחצי,אבו-גוש
דקה וחצי,אבו-תלול והפזורה
דקה,אבטליון
דקה וחצי,אביאל
מיידי,אביבים
45 שניות,אביגדור
דקה וחצי,אביעזר
מיידי,אבירים
דקה וחצי,אבן יהודה
מיידי,אבן מנחם
דקה וחצי,אבן ספיר
30 שניות,אבן שמואל
מיידי,אבני איתן
15 שניות,אבשלום
מיידי,אדמית
דקה וחצי,אדרת
דקה וחצי,אודים
מיידי,אודם
15 שניות,אוהד
דקה וחצי,אום אל פחם
דקה וחצי,אום אל קוטוף
דקה וחצי,אום אל-גנם
דקה,אום אל-פחם
דקה,אום בטין
דקה,אום בטין והפזורה
45 שניות,אופקים
30 שניות,אור הגנוז
15 שניות,אור הנר
דקה וחצי,אור יהודה
דקה וחצי,אור עקיבא
דקה וחצי,אורה
45 שניות,אורות
מיידי,אורטל
30 שניות,אורים
דקה,אורנים
דקה וחצי,אורנית
דקה,אושה
דקה וחצי,אזור
מיידי,אזור תעשייה אכזיב מילואות
דקה,אזור תעשייה אלון התבור
דקה וחצי,אזור תעשייה אפק ולב הארץ
45 שניות,אזור תעשייה באר טוביה
45 שניות,אזור תעשייה בני יהודה
מיידי,אזור תעשייה בר-לב
דקה וחצי,אזור תעשייה ברוש
דקה וחצי,אזור תעשייה דימונה
30 שניות,אזור תעשייה הדרומי אשקלון
דקה וחצי,אזור תעשייה הר טוב - צרעה
דקה וחצי,אזור תעשייה חבל מודיעין
30 שניות,אזור תעשייה חצור הגלילית
דקה,אזור תעשייה כנות
