loc,lat,long,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01
מטולה,33.2772,35.5782,3.0,3.0,1.0,4.0,9.0,12.0,15.0,44.0,23.0,11.0,14.0,14.0,123.0,55.0,0.0,1.0
ע'ג'ר,33.2728,35.6242,1.0,2.0,3.0,3.0,4.0,7.0,12.0,27.0,7.0,9.0,6.0,3.0,18.0,10.0,0.0,1.0
מג'דל שמס,33.2691,35.7721,0.0,0.0,2.0,0.0,1.0,4.0,6.0,1.0,5.0,7.0,1.0,1.0,4.0,1.0,0.0,0.0
נווה אטי''ב,33.26202,35.740574,0.0,0.0,1.0,0.0,1.0,2.0,5.0,0.0,5.0,6.0,3.0,0.0,2.0,0.0,0.0,0.0
משגב עם,33.2476,35.5485,3.0,7.0,10.0,7.0,7.0,10.0,13.0,53.0,20.0,20.0,13.0,13.0,155.0,23.0,0.0,0.0
כפר יובל,33.2466,35.5964,1.0,4.0,3.0,3.0,9.0,11.0,20.0,38.0,20.0,20.0,19.0,7.0,46.0,23.0,0.0,0.0
נמרוד,33.2453,35.7516,0.0,0.0,2.0,0.0,1.0,2.0,5.0,0.0,5.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0
כפר גלעדי,33.2421,35.5741,3.0,5.0,8.0,7.0,10.0,14.0,18.0,53.0,21.0,28.0,18.0,18.0,88.0,22.0,0.0,0.0
קיבוץ דן,33.2406,35.6523,0.0,3.0,4.0,2.0,1.0,5.0,13.0,32.0,8.0,20.0,9.0,5.0,13.0,1.0,0.0,0.0
שניר,33.2403,35.677,0.0,3.0,3.0,2.0,4.0,8.0,14.0,32.0,11.0,17.0,10.0,7.0,9.0,2.0,0.0,0.0
מעיין ברוך,33.2393,35.6094,2.0,4.0,3.0,3.0,9.0,11.0,21.0,44.0,20.0,17.0,17.0,10.0,24.0,18.0,0.0,0.0
עין קנייא,33.2367,35.7313,0.0,1.0,2.0,0.0,3.0,3.0,5.0,0.0,7.0,5.0,3.0,0.0,2.0,0.0,0.0,0.0
תל חי,33.2334,35.5827,3.0,7.0,13.0,6.0,16.0,15.0,18.0,53.0,27.0,36.0,21.0,20.0,55.0,20.0,0.0,0.0
מסעדה,33.2321,35.7556,0.0,1.0,3.0,0.0,2.0,2.0,5.0,0.0,6.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0
דפנה,33.2308,35.6383,1.0,4.0,5.0,2.0,3.0,6.0,15.0,33.0,8.0,22.0,6.0,5.0,15.0,2.0,0.0,0.0
